pig_gene_id,gene_symbol,description,success,biomarker_label,human_length,importance
ENSSSCG00000003662,NT5C1A,"5'-nucleotidase, cytosolic IA [Source:VGNC Symbol;Acc:VGNC:90919]",True,,22099.0,67.8786706502239
ENSSSCG00000034350,SERHL2,serine hydrolase like 2 [Source:UniProtKB Gene Name;Acc:A0A287AJ52],True,,20770.0,63.26414982477824
ENSSSCG00000010300,MSS51,MSS51 mitochondrial translational activator [Source:VGNC Symbol;Acc:VGNC:90428],True,,9982.0,58.858604273448385
ENSSSCG00000033323,UBE2D1,ubiquitin conjugating enzyme E2 D1 [Source:VGNC Symbol;Acc:VGNC:94641],True,,35776.0,55.70909344342848
ENSSSCG00000007586,FSCN1,fascin actin-bundling protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:100286741],True,,13846.0,55.09929911295573
ENSSSCG00000004433,HS3ST5,heparan sulfate-glucosamine 3-sulfotransferase 5 [Source:VGNC Symbol;Acc:VGNC:88979],True,,288116.0,53.146419795540474
ENSSSCG00000028552,BHLHE41,basic helix-loop-helix family member e41 [Source:VGNC Symbol;Acc:VGNC:85815],True,,5007.0,48.80103706692656
ENSSSCG00000012402,CXCR3,C-X-C motif chemokine receptor 3 [Source:VGNC Symbol;Acc:VGNC:87108],True,,2595.0,44.14047053363174
ENSSSCG00000004774,IVD,isovaleryl-CoA dehydrogenase [Source:NCBI gene (formerly Entrezgene);Acc:100156047],True,,30462.0,41.60078833329317
ENSSSCG00000002831,IRX3,iroquois homeobox 3 [Source:VGNC Symbol;Acc:VGNC:89217],True,,3483.0,40.72840286294619
ENSSSCG00000003768,NEXN,nexilin F-actin binding protein [Source:VGNC Symbol;Acc:VGNC:98154],True,,55415.0,39.67210340499878
ENSSSCG00000033673,SLC25A6,solute carrier family 25 member 6 [Source:VGNC Symbol;Acc:VGNC:98321],True,,6796.0,39.376303692658745
ENSSSCG00000036227,,,True,,,37.857170194387436
ENSSSCG00000026211,NRN1,neuritin 1 [Source:VGNC Symbol;Acc:VGNC:90900],True,,10689.0,37.148451809693746
ENSSSCG00000047144,,,False,,,37.14801489934325
ENSSSCG00000026707,XCR1,X-C motif chemokine receptor 1 [Source:VGNC Symbol;Acc:VGNC:94994],True,,68835.0,37.036257549499474
ENSSSCG00000046977,,,True,,,36.2069196064646
ENSSSCG00000015893,SLC4A10,solute carrier family 4 member 10 [Source:VGNC Symbol;Acc:VGNC:95592],True,,560950.0,35.972407342245184
ENSSSCG00000024668,KLK1,kallikrein 1 [Source:NCBI gene (formerly Entrezgene);Acc:431673],True,,4641.0,31.844069679578144
ENSSSCG00000012647,PRR32,proline rich 32 [Source:VGNC Symbol;Acc:VGNC:91858],True,,2057.0,31.114249187211197
ENSSSCG00000002863,LRP3,LDL receptor related protein 3 [Source:VGNC Symbol;Acc:VGNC:89819],True,,31261.0,30.048070974648
ENSSSCG00000037527,CPLX1,complexin 1 [Source:VGNC Symbol;Acc:VGNC:86943],True,,42086.0,29.379203636199236
ENSSSCG00000006350,,"Fc fragment of IgG, low affinity IIb, receptor (CD32) [Source:NCBI gene (formerly Entrezgene);Acc:613131]",True,,,28.587993457292516
ENSSSCG00000035454,B4GALT1,"beta-1,4-galactosyltransferase 1 [Source:VGNC Symbol;Acc:VGNC:96497]",True,,66866.0,27.661659876505535
ENSSSCG00000049863,,,True,,,26.881803194681805
ENSSSCG00000003479,MFAP2,microfibril associated protein 2 [Source:VGNC Symbol;Acc:VGNC:90173],True,,7118.0,26.145853956540424
ENSSSCG00000017142,BAIAP2,BAR/IMD domain containing adaptor protein 2 [Source:VGNC Symbol;Acc:VGNC:85748],True,,82312.0,23.813998197515804
ENSSSCG00000016217,DNAJB2,DnaJ heat shock protein family (Hsp40) member B2 [Source:UniProtKB Gene Name;Acc:F1SR79],True,,7556.0,23.30454683303833
ENSSSCG00000004602,TEX9,testis expressed 9 [Source:VGNC Symbol;Acc:VGNC:93907],True,,202026.0,22.84070863823096
ENSSSCG00000013892,KCNN1,potassium calcium-activated channel subfamily N member 1 [Source:VGNC Symbol;Acc:VGNC:89379],True,,52601.0,21.25965888223921
ENSSSCG00000011195,GALNT15,polypeptide N-acetylgalactosaminyltransferase 15 [Source:VGNC Symbol;Acc:VGNC:88331],True,,57419.0,20.53253861020009
ENSSSCG00000006267,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:VGNC Symbol;Acc:VGNC:98830],True,,82467.0,20.5170996983846
ENSSSCG00000046457,,,False,,,19.868804946541786
ENSSSCG00000029199,,sodium voltage-gated channel beta subunit 4 [Source:VGNC Symbol;Acc:VGNC:92636],True,,,19.826863577589393
ENSSSCG00000027428,ENHO,energy homeostasis associated [Source:NCBI gene (formerly Entrezgene);Acc:100303726],True,,2131.0,18.393798095484573
ENSSSCG00000000521,,,False,,,18.380033175150555
ENSSSCG00000032684,BOK,BCL2 family apoptosis regulator BOK [Source:VGNC Symbol;Acc:VGNC:95496],True,,23268.0,18.26374480376641
ENSSSCG00000011795,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2 [Source:VGNC Symbol;Acc:VGNC:89055],True,,181931.0,18.06049982706706
ENSSSCG00000038650,TLCD1,TLC domain containing 1 [Source:VGNC Symbol;Acc:VGNC:94010],True,,3587.0,17.79891850054264
ENSSSCG00000016522,PTN,pleiotrophin [Source:VGNC Symbol;Acc:VGNC:91965],True,,117017.0,17.010599772135418
ENSSSCG00000041755,,,False,,,16.607200622558594
ENSSSCG00000001473,COL11A2,collagen type XI alpha 2 chain [Source:VGNC Symbol;Acc:VGNC:86863],True,,30085.0,16.08538881937663
ENSSSCG00000037566,,,True,,,15.821533203125
ENSSSCG00000037562,SLC2A4RG,SLC2A4 regulator [Source:VGNC Symbol;Acc:VGNC:95715],True,,4291.0,15.699300130208334
ENSSSCG00000024043,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:VGNC Symbol;Acc:VGNC:85081],True,,234608.0,15.632866541544596
ENSSSCG00000028911,COLQ,collagen like tail subunit of asymmetric acetylcholinesterase [Source:VGNC Symbol;Acc:VGNC:86884],True,,71796.0,15.275900522867838
ENSSSCG00000040286,CYLD,CYLD lysine 63 deubiquitinase [Source:VGNC Symbol;Acc:VGNC:87130],True,,59903.0,15.045633951822916
ENSSSCG00000017537,HOXB8,homeobox B8 [Source:VGNC Symbol;Acc:VGNC:88948],True,,6626.0,14.86980546762546
ENSSSCG00000042665,,,False,,,14.770283460617065
ENSSSCG00000017540,HOXB5,homeobox B5 [Source:VGNC Symbol;Acc:VGNC:88945],True,,2522.0,14.589782816668352
ENSSSCG00000007140,SMOX,spermine oxidase [Source:VGNC Symbol;Acc:VGNC:95679],True,,66768.0,14.459913571675619
ENSSSCG00000016579,CCDC136,coiled-coil domain containing 136 [Source:VGNC Symbol;Acc:VGNC:86257],True,,31378.0,14.219464398920536
ENSSSCG00000028771,MEF2A,myocyte enhancer factor 2A [Source:NCBI gene (formerly Entrezgene);Acc:100037273],True,,151084.0,13.984466552734375
ENSSSCG00000004576,RORA,RAR related orphan receptor A [Source:VGNC Symbol;Acc:VGNC:92408],True,,741018.0,13.867872717479864
ENSSSCG00000037499,NEDD4,NEDD4 E3 ubiquitin protein ligase [Source:VGNC Symbol;Acc:VGNC:90666],True,,166743.0,13.577369938294092
ENSSSCG00000015774,TENM3,teneurin transmembrane protein 3 [Source:VGNC Symbol;Acc:VGNC:96233],True,,659106.0,13.190453777710596
ENSSSCG00000015796,PDLIM3,PDZ and LIM domain 3 [Source:VGNC Symbol;Acc:VGNC:95945],True,,34847.0,12.838912253578505
ENSSSCG00000038302,,,True,,,12.78179677327474
ENSSSCG00000011461,LRTM1,leucine rich repeats and transmembrane domains 1 [Source:VGNC Symbol;Acc:VGNC:89865],True,,48857.0,12.715494436522325
ENSSSCG00000004834,NDN,"necdin, MAGE family member [Source:NCBI gene (formerly Entrezgene);Acc:100144475]",True,,1905.0,12.367423057556152
ENSSSCG00000009545,COL4A2,collagen type IV alpha 2 chain [Source:VGNC Symbol;Acc:VGNC:86875],True,,207397.0,12.00117521484693
ENSSSCG00000027768,SLC29A4,solute carrier family 29 member 4 [Source:VGNC Symbol;Acc:VGNC:93045],True,,32825.0,11.949033419291178
ENSSSCG00000034741,HOXD11,homeobox D11 [Source:VGNC Symbol;Acc:VGNC:96352],True,,5538.0,11.823613484700521
ENSSSCG00000051524,,,True,,,11.694526672363281
ENSSSCG00000025403,,,True,,,11.10775696610411
ENSSSCG00000019687,SNORA41,"small nucleolar RNA, H/ACA box 41 [Source:HGNC Symbol;Acc:HGNC:32634]",True,,131.0,11.034500122070312
ENSSSCG00000015093,CD3D,CD3 delta subunit of T-cell receptor complex [Source:NCBI gene (formerly Entrezgene);Acc:396661],True,,8168.0,10.550605595111847
ENSSSCG00000038644,HOXC8,homeobox C8 [Source:VGNC Symbol;Acc:VGNC:88954],True,,3784.0,10.509146075695753
ENSSSCG00000006933,CLCA1,chloride channel accessory 1 [Source:NCBI gene (formerly Entrezgene);Acc:397284],True,,33032.0,9.47728673617045
ENSSSCG00000040470,RPS20,ribosomal protein S20 [Source:NCBI gene (formerly Entrezgene);Acc:414395],True,,7256.0,9.234801099946102
ENSSSCG00000009975,EMID1,EMI domain containing 1 [Source:VGNC Symbol;Acc:VGNC:87679],True,,53789.0,9.135149896144867
ENSSSCG00000003465,FBLIM1,filamin binding LIM protein 1 [Source:VGNC Symbol;Acc:VGNC:88023],True,,29990.0,8.983782604336739
ENSSSCG00000036948,,immunoglobulin like and fibronectin type III domain containing 1 [Source:VGNC Symbol;Acc:VGNC:96049],True,,,8.931380033493042
ENSSSCG00000031077,KPNA4,karyopherin subunit alpha 4 [Source:VGNC Symbol;Acc:VGNC:89563],True,,70580.0,8.739066441853842
ENSSSCG00000028372,,,False,,,8.690480868021647
ENSSSCG00000026784,LMNB2,lamin B2 [Source:VGNC Symbol;Acc:VGNC:89761],True,,29354.0,8.581083337465921
ENSSSCG00000034993,,,False,,,8.580694610873858
ENSSSCG00000044105,,,True,,,8.571166356404623
ENSSSCG00000025996,MTUS2,microtubule associated scaffold protein 2 [Source:VGNC Symbol;Acc:VGNC:90477],True,,685926.0,8.423750122388205
ENSSSCG00000044150,,,True,,,8.195727055892348
ENSSSCG00000005706,ABL1,"ABL proto-onco 1, non-receptor tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:84984]",True,,174632.0,8.175339172283808
ENSSSCG00000036695,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3 [Source:VGNC Symbol;Acc:VGNC:89056],True,,160282.0,8.075773239135742
ENSSSCG00000050595,,,True,,,8.038694083690643
ENSSSCG00000026790,,,True,,,7.951430161794026
ENSSSCG00000011692,ZIC1,Zic family member 1 [Source:VGNC Symbol;Acc:VGNC:95166],True,,116871.0,7.939215362071991
ENSSSCG00000037673,BFAR,bifunctional apoptosis regulator [Source:VGNC Symbol;Acc:VGNC:85809],True,,36407.0,7.813491226484378
ENSSSCG00000010853,EPHX1,epoxide hydrolase 1 [Source:NCBI gene (formerly Entrezgene);Acc:397639],True,,35472.0,7.793655425310135
ENSSSCG00000042919,,,False,,,7.681699752807617
ENSSSCG00000026248,,progestin and adipoQ receptor family member 4 [Source:UniProtKB Gene Name;Acc:A0A4X1VVI1],True,,,7.577299912770589
ENSSSCG00000008985,SOWAHB,sosondowah ankyrin repeat domain family member B [Source:VGNC Symbol;Acc:VGNC:93348],True,,3992.0,7.5377565900950385
ENSSSCG00000033509,SAMD11,sterile alpha motif domain containing 11 [Source:VGNC Symbol;Acc:VGNC:92564],True,,20652.0,7.4553738832473755
ENSSSCG00000038553,TSPO2,translocator protein 2 [Source:UniProtKB Gene Name;Acc:A0A4X1SM57],True,,1870.0,7.282586683829625
ENSSSCG00000045113,,,False,,,7.26093324025472
ENSSSCG00000050286,,,False,,,7.210033416748047
ENSSSCG00000016414,,ring finger protein 32 [Source:VGNC Symbol;Acc:VGNC:92388],True,,,7.176336746662855
ENSSSCG00000000138,PVALB,parvalbumin [Source:VGNC Symbol;Acc:VGNC:92007],True,,18797.0,7.086002103984356
ENSSSCG00000032411,ENGASE,endo-beta-N-acetylglucosaminidase [Source:VGNC Symbol;Acc:VGNC:87699],True,,13775.0,7.075159588207801
ENSSSCG00000003132,KDELR1,KDEL endoplasmic reticulum protein retention receptor 1 [Source:VGNC Symbol;Acc:VGNC:98483],True,,11262.0,6.83665657043457
ENSSSCG00000037530,TACC2,transforming acidic coiled-coil containing protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:100152804],True,,265382.0,6.803600311279297
ENSSSCG00000012371,AR,androgen receptor [Source:NCBI gene (formerly Entrezgene);Acc:397582],True,,187266.0,6.792471629451029
ENSSSCG00000012525,BEX1,"brain expressed, X-linked 1 [Source:NCBI gene (formerly Entrezgene);Acc:100513130]",True,,1697.0,6.695350011189778
ENSSSCG00000031011,CCDC160,coiled-coil domain containing 160 [Source:VGNC Symbol;Acc:VGNC:86269],True,,9795.0,6.690482946733634
ENSSSCG00000009361,POSTN,periostin [Source:VGNC Symbol;Acc:VGNC:91670],True,,36273.0,6.607873320579529
ENSSSCG00000002821,,,False,,,6.499078794227292
ENSSSCG00000013349,HTATIP2,HIV-1 Tat interactive protein 2 [Source:VGNC Symbol;Acc:VGNC:88997],True,,27872.0,6.4391663869222
ENSSSCG00000038048,,,True,,,6.38881487896045
ENSSSCG00000006398,SLAMF8,SLAM family member 8 [Source:VGNC Symbol;Acc:VGNC:92913],True,,10799.0,6.2813524355491
ENSSSCG00000017565,SPATA20,spermatosis associated 20 [Source:VGNC Symbol;Acc:VGNC:93380],True,,13423.0,6.224586486816406
ENSSSCG00000026217,,,True,,,6.172903378804524
ENSSSCG00000032541,TIGD2,tigger transposable element derived 2 [Source:VGNC Symbol;Acc:VGNC:93981],True,,3368.0,6.084439913431804
ENSSSCG00000044397,,,False,,,6.036596616109212
ENSSSCG00000012549,RADX,"RPA1 related single stranded DNA binding protein, X-linked [Source:UniProtKB Gene Name;Acc:A0A8D1B958]",True,,67509.0,6.035020073254903
ENSSSCG00000008919,EPHA5,EPH receptor A5 [Source:VGNC Symbol;Acc:VGNC:87733],True,,350932.0,6.028307463896151
ENSSSCG00000004454,ME1,malic enzyme 1 [Source:VGNC Symbol;Acc:VGNC:90095],True,,220815.0,5.970157434834012
ENSSSCG00000028104,HOXC11,homeobox C11 [Source:VGNC Symbol;Acc:VGNC:103287],True,,4517.0,5.920844465494156
ENSSSCG00000040145,SNAI3,snail family transcriptional repressor 3 [Source:VGNC Symbol;Acc:VGNC:93276],True,,8819.0,5.916938203076522
ENSSSCG00000010962,FRMD3,FERM domain containing 3 [Source:VGNC Symbol;Acc:VGNC:96031],True,,295747.0,5.825484345356624
ENSSSCG00000011243,GOLGA4,golgin A4 [Source:VGNC Symbol;Acc:VGNC:88551],True,,123695.0,5.697172274890666
ENSSSCG00000017358,SLC4A1,solute carrier family 4 member 1 [Source:VGNC Symbol;Acc:VGNC:99051],True,,19751.0,5.578706610947847
ENSSSCG00000029596,,,True,,,5.578179510931174
ENSSSCG00000045086,,,False,,,5.473340034484863
ENSSSCG00000036779,5_8S_rRNA,5.8S ribosomal RNA [Source:RFAM;Acc:RF00002],True,,151.0,5.431250570962827
ENSSSCG00000025685,TP73,tumor protein p73 [Source:VGNC Symbol;Acc:VGNC:94331],True,,83685.0,5.371463378270467
ENSSSCG00000010512,SLIT1,slit guidance ligand 1 [Source:VGNC Symbol;Acc:VGNC:107171],True,,187921.0,5.36266432205836
ENSSSCG00000000118,MICALL1,MICAL like 1 [Source:VGNC Symbol;Acc:VGNC:90209],True,,37165.0,5.297726472218831
ENSSSCG00000007022,ANK1,ankyrin 1 [Source:VGNC Symbol;Acc:VGNC:96344],True,,243521.0,5.215191334486008
ENSSSCG00000011720,MBNL1,muscleblind like splicing regulator 1 [Source:VGNC Symbol;Acc:VGNC:90054],True,,221953.0,5.070421482125918
ENSSSCG00000026430,,,True,,,5.022570739189784
ENSSSCG00000021067,BLVRB,biliverdin reductase B [Source:VGNC Symbol;Acc:VGNC:85834],True,,18061.0,5.010583400726318
ENSSSCG00000042170,,,False,,,4.979176287539303
ENSSSCG00000006307,RCSD1,RCSD domain containing 1 [Source:VGNC Symbol;Acc:VGNC:92186],True,,79046.0,4.9735798835754395
ENSSSCG00000008434,TTC7A,tetratricopeptide repeat domain 7A [Source:VGNC Symbol;Acc:VGNC:94557],True,,160268.0,4.952340046564738
ENSSSCG00000004979,MYO9A,myosin IXA [Source:VGNC Symbol;Acc:VGNC:103138],True,,296286.0,4.930033365885417
ENSSSCG00000003152,RUVBL2,RuvB like AAA ATPase 2 [Source:VGNC Symbol;Acc:VGNC:92522],True,,22421.0,4.833921651045482
ENSSSCG00000048076,,,True,,,4.7488999764124555
ENSSSCG00000009738,GALNT9,polypeptide N-acetylgalactosaminyltransferase 9 [Source:VGNC Symbol;Acc:VGNC:88336],True,,133226.0,4.731763283411662
ENSSSCG00000018052,NT5M,"5',3'-nucleotidase, mitochondrial [Source:VGNC Symbol;Acc:VGNC:90926]",True,,44332.0,4.521066665649414
ENSSSCG00000015618,LAMB3,laminin subunit beta 3 [Source:VGNC Symbol;Acc:VGNC:89622],True,,38236.0,4.48992657661438
ENSSSCG00000017862,TRPV3,transient receptor potential cation channel subfamily V member 3 [Source:VGNC Symbol;Acc:VGNC:94475],True,,47310.0,4.3788533210754395
ENSSSCG00000041513,,,False,,,4.3253593643506365
ENSSSCG00000014249,MARCHF3,membrane associated ring-CH-type finger 3 [Source:NCBI gene (formerly Entrezgene);Acc:100513526],True,,163554.0,4.305069963137309
ENSSSCG00000004541,FECH,ferrochelatase [Source:VGNC Symbol;Acc:VGNC:88081],True,,42384.0,4.298451112272839
ENSSSCG00000003876,CDKN2C,cyclin dependent kinase inhibitor 2C [Source:VGNC Symbol;Acc:VGNC:96942],True,,13889.0,4.286489963531494
ENSSSCG00000048398,,,False,,,4.245209852854411
ENSSSCG00000003216,POLD1,"DNA polymerase delta 1, catalytic subunit [Source:VGNC Symbol;Acc:VGNC:91627]",True,,33814.0,4.194889297087987
ENSSSCG00000017262,SLC16A6,solute carrier family 16 member 6 [Source:VGNC Symbol;Acc:VGNC:92946],True,,24241.0,4.190016717649996
ENSSSCG00000049660,,,True,,,4.187326749165853
ENSSSCG00000033695,KCTD15,potassium channel tetramerization domain containing 15 [Source:VGNC Symbol;Acc:VGNC:89394],True,,19830.0,4.160966555277507
ENSSSCG00000037292,PLA2G4E,phospholipase A2 group IVE [Source:VGNC Symbol;Acc:VGNC:91497],True,,69796.0,4.129866520563762
ENSSSCG00000012679,GPC4,glypican 4 [Source:VGNC Symbol;Acc:VGNC:88581],True,,116111.0,4.118178367614746
ENSSSCG00000020771,INHA,inhibin subunit alpha [Source:VGNC Symbol;Acc:VGNC:96372],True,,6549.0,4.0766100486119585
ENSSSCG00000047019,,,False,,,3.966623306274414
ENSSSCG00000044245,,,False,,,3.931700070699056
ENSSSCG00000044225,,,True,,,3.931580106417338
ENSSSCG00000009290,MIPEP,mitochondrial intermediate peptidase [Source:VGNC Symbol;Acc:VGNC:90236],True,,159272.0,3.9278520941734314
ENSSSCG00000038753,,,False,,,3.8593484895924726
ENSSSCG00000012319,,,True,,,3.8524296283721924
ENSSSCG00000036305,SMIM1,small integral membrane protein 1 (Vel blood group) [Source:UniProtKB Gene Name;Acc:A0A8D0S118],True,,4054.0,3.793733278910319
ENSSSCG00000014579,TMEM41B,transmembrane protein 41B [Source:VGNC Symbol;Acc:VGNC:94179],True,,33982.0,3.793220043182373
ENSSSCG00000036566,LY6G6C,lymphocyte antigen 6 family member G6C [Source:VGNC Symbol;Acc:VGNC:89902],True,,3098.0,3.7626813699801764
ENSSSCG00000042575,,,False,,,3.705476824194193
ENSSSCG00000040735,DDAH1,dimethylarginine dimethylaminohydrolase 1 [Source:VGNC Symbol;Acc:VGNC:87200],True,,259882.0,3.6960666179656982
ENSSSCG00000002496,GLRX5,glutaredoxin 5 [Source:VGNC Symbol;Acc:VGNC:88496],True,,11221.0,3.679533322652181
ENSSSCG00000009029,ARHGAP10,Rho GTPase activating protein 10 [Source:VGNC Symbol;Acc:VGNC:85458],True,,340858.0,3.6686492959658303
ENSSSCG00000006106,CDH17,cadherin 17 [Source:VGNC Symbol;Acc:VGNC:86480],True,,92922.0,3.667765880624453
ENSSSCG00000017949,WRAP53,WD repeat containing antisense to TP53 [Source:VGNC Symbol;Acc:VGNC:110652],True,,17434.0,3.6386166413625083
ENSSSCG00000032581,,,False,,,3.6366666158040366
ENSSSCG00000013400,,,False,,,3.5889856219291687
ENSSSCG00000031875,,,False,,,3.556133270263672
ENSSSCG00000033958,RYR3,ryanodine receptor 3 [Source:VGNC Symbol;Acc:VGNC:109410],True,,555159.0,3.5505862813442945
ENSSSCG00000014433,PCYOX1L,prenylcysteine oxidase 1 like [Source:VGNC Symbol;Acc:VGNC:91236],True,,11651.0,3.472566604614258
ENSSSCG00000009642,STC1,stanniocalcin 1 [Source:NCBI gene (formerly Entrezgene);Acc:100125345],True,,12877.0,3.4636001586914062
ENSSSCG00000024296,NKIRAS1,NFKB inhibitor interacting Ras like 1 [Source:VGNC Symbol;Acc:VGNC:90762],True,,56640.0,3.4635322292645774
ENSSSCG00000021166,RPAP3,RNA polymerase II associated protein 3 [Source:VGNC Symbol;Acc:VGNC:92419],True,,44789.0,3.4552467664082847
ENSSSCG00000039704,,,True,,,3.447143316268921
ENSSSCG00000029521,CD82,CD82 molecule [Source:VGNC Symbol;Acc:VGNC:86432],True,,56510.0,3.4435300827026367
ENSSSCG00000037808,,,True,,,3.4342735608418784
ENSSSCG00000012970,CTSW,cathepsin W [Source:VGNC Symbol;Acc:VGNC:87080],True,,3932.0,3.4102800687154136
ENSSSCG00000023333,FCN2,ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin) [Source:NCBI gene (formerly Entrezgene);Acc:396881],True,,9794.0,3.3886042506977296
ENSSSCG00000043407,,,False,,,3.3728599548339844
ENSSSCG00000048802,,,False,,,3.3182199001312256
ENSSSCG00000008225,PTCD3,pentatricopeptide repeat domain 3 [Source:VGNC Symbol;Acc:VGNC:91940],True,,35934.0,3.307537297407786
ENSSSCG00000021610,CHPF,chondroitin polymerizing factor [Source:VGNC Symbol;Acc:VGNC:96038],True,,4869.0,3.2942467033863068
ENSSSCG00000015380,CDCA7L,cell division cycle associated 7 like [Source:VGNC Symbol;Acc:VGNC:86469],True,,46245.0,3.277520609398683
ENSSSCG00000006474,NES,nestin [Source:VGNC Symbol;Acc:VGNC:90689],True,,8644.0,3.264754763493935
ENSSSCG00000045840,,,False,,,3.2514100074768066
ENSSSCG00000006375,LY9,lymphocyte antigen 9 [Source:VGNC Symbol;Acc:VGNC:89906],True,,32409.0,3.248413324356079
ENSSSCG00000037565,,"H1.2 linker histone, cluster member [Source:VGNC Symbol;Acc:VGNC:109768]",True,,,3.2393976549307504
ENSSSCG00000050441,,,False,,,3.2320868174235025
