Sample_ID,Tissue,Tissue_detail,Age,Stage,Sex
SAMN00000062,Muscle,Muscle,8,Infant_0_20d,Female
SAMN00000063,Muscle,Muscle,2,Infant_0_20d,Female
SAMN00000064,Muscle,Muscle,12,Infant_0_20d,Female
SAMN00000065,Muscle,Muscle,14,Infant_0_20d,Male
SAMN00000066,Muscle,Muscle,15,Infant_0_20d,Female
SAMN00000067,Muscle,Muscle,19,Infant_0_20d,Male
SAMN00000068,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000069,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000070,Muscle,Muscle,3,Infant_0_20d,Female
SAMN00000071,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000072,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000073,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000074,Muscle,Muscle,5,Infant_0_20d,Male
SAMN00000075,Muscle,Muscle,17,Infant_0_20d,Male
SAMN00000076,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000077,Muscle,Muscle,14,Infant_0_20d,Female
SAMN00000078,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000079,Muscle,Muscle,9,Infant_0_20d,Female
SAMN00000080,Muscle,Muscle,12,Infant_0_20d,Male
SAMN00000081,Muscle,Muscle,11,Infant_0_20d,Male
SAMN00000082,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000083,Muscle,Muscle,4,Infant_0_20d,Female
SAMN00000084,Muscle,Muscle,8,Infant_0_20d,Male
SAMN00000085,Muscle,Muscle,19,Infant_0_20d,Male
SAMN00000086,Muscle,Muscle,8,Infant_0_20d,Female
SAMN00000087,Muscle,Muscle,18,Infant_0_20d,Female
SAMN00000088,Muscle,Muscle,3,Infant_0_20d,Female
SAMN00000089,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000090,Muscle,Muscle,19,Infant_0_20d,Male
SAMN00000091,Muscle,Muscle,13,Infant_0_20d,Female
SAMN00000092,Muscle,Muscle,16,Infant_0_20d,Male
SAMN00000093,Muscle,Muscle,17,Infant_0_20d,Male
SAMN00000094,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000095,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000096,Muscle,Muscle,8,Infant_0_20d,Female
SAMN00000097,Muscle,Muscle,3,Infant_0_20d,Female
SAMN00000098,Muscle,Muscle,2,Infant_0_20d,Female
SAMN00000099,Muscle,Muscle,12,Infant_0_20d,Female
SAMN00000100,Muscle,Muscle,13,Infant_0_20d,Female
SAMN00000101,Muscle,Muscle,18,Infant_0_20d,Female
SAMN00000102,Muscle,Muscle,16,Infant_0_20d,Male
SAMN00000103,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000104,Muscle,Muscle,6,Infant_0_20d,Female
SAMN00000105,Muscle,Muscle,11,Infant_0_20d,Female
SAMN00000106,Muscle,Muscle,13,Infant_0_20d,Male
SAMN00000107,Muscle,Muscle,14,Infant_0_20d,Male
SAMN00000108,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000109,Muscle,Muscle,11,Infant_0_20d,Female
SAMN00000110,Muscle,Muscle,4,Infant_0_20d,Female
SAMN00000111,Muscle,Muscle,12,Infant_0_20d,Male
SAMN00000112,Muscle,Muscle,16,Infant_0_20d,Female
SAMN00000113,Muscle,Muscle,10,Infant_0_20d,Female
SAMN00000114,Muscle,Muscle,1,Infant_0_20d,Female
SAMN00000115,Muscle,Muscle,13,Infant_0_20d,Male
SAMN00000116,Muscle,Muscle,1,Infant_0_20d,Female
SAMN00000117,Muscle,Muscle,10,Infant_0_20d,Male
SAMN00000118,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000119,Muscle,Muscle,11,Infant_0_20d,Female
SAMN00000120,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000121,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000122,Muscle,Muscle,17,Infant_0_20d,Male
SAMN00000123,Muscle,Muscle,3,Infant_0_20d,Male
SAMN00000124,Muscle,Muscle,11,Infant_0_20d,Female
SAMN00000125,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000126,Muscle,Muscle,3,Infant_0_20d,Female
SAMN00000127,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000128,Muscle,Muscle,5,Infant_0_20d,Male
SAMN00000129,Muscle,Muscle,16,Infant_0_20d,Female
SAMN00000130,Muscle,Muscle,5,Infant_0_20d,Male
SAMN00000131,Muscle,Muscle,5,Infant_0_20d,Male
SAMN00000132,Muscle,Muscle,6,Infant_0_20d,Female
SAMN00000133,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000134,Muscle,Muscle,3,Infant_0_20d,Female
SAMN00000135,Muscle,Muscle,2,Infant_0_20d,Male
SAMN00000136,Muscle,Muscle,1,Infant_0_20d,Male
SAMN00000137,Muscle,Muscle,10,Infant_0_20d,Female
SAMN00000138,Muscle,Muscle,12,Infant_0_20d,Male
SAMN00000139,Muscle,Muscle,8,Infant_0_20d,Male
SAMN00000140,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000141,Muscle,Muscle,13,Infant_0_20d,Female
SAMN00000142,Muscle,Muscle,6,Infant_0_20d,Female
SAMN00000143,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000144,Muscle,Muscle,10,Infant_0_20d,Female
SAMN00000145,Muscle,Muscle,16,Infant_0_20d,Male
SAMN00000146,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000147,Muscle,Muscle,15,Infant_0_20d,Female
SAMN00000148,Muscle,Muscle,15,Infant_0_20d,Female
SAMN00000149,Muscle,Muscle,17,Infant_0_20d,Male
SAMN00000150,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000151,Muscle,Muscle,10,Infant_0_20d,Female
SAMN00000152,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000153,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000154,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000155,Muscle,Muscle,16,Infant_0_20d,Female
SAMN00000156,Muscle,Muscle,2,Infant_0_20d,Male
SAMN00000157,Muscle,Muscle,4,Infant_0_20d,Female
SAMN00000158,Muscle,Muscle,9,Infant_0_20d,Female
SAMN00000159,Muscle,Muscle,3,Infant_0_20d,Female
SAMN00000160,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000161,Muscle,Muscle,11,Infant_0_20d,Male
SAMN00000162,Muscle,Muscle,14,Infant_0_20d,Female
SAMN00000163,Muscle,Muscle,1,Infant_0_20d,Male
SAMN00000164,Muscle,Muscle,7,Infant_0_20d,Male
SAMN00000165,Muscle,Muscle,8,Infant_0_20d,Female
SAMN00000166,Muscle,Muscle,16,Infant_0_20d,Male
SAMN00000167,Muscle,Muscle,19,Infant_0_20d,Male
SAMN00000168,Muscle,Muscle,6,Infant_0_20d,Male
SAMN00000169,Muscle,Muscle,6,Infant_0_20d,Male
SAMN00000170,Muscle,Muscle,4,Infant_0_20d,Female
SAMN00000171,Muscle,Muscle,8,Infant_0_20d,Male
SAMN00000172,Muscle,Muscle,9,Infant_0_20d,Female
SAMN00000173,Muscle,Muscle,3,Infant_0_20d,Female
SAMN00000174,Muscle,Muscle,9,Infant_0_20d,Female
SAMN00000175,Muscle,Muscle,19,Infant_0_20d,Male
SAMN00000176,Muscle,Muscle,8,Infant_0_20d,Male
SAMN00000177,Muscle,Muscle,1,Infant_0_20d,Male
SAMN00000178,Muscle,Muscle,15,Infant_0_20d,Female
SAMN00000179,Muscle,Muscle,9,Infant_0_20d,Female
SAMN00000180,Muscle,Muscle,14,Infant_0_20d,Male
SAMN00000181,Muscle,Muscle,19,Infant_0_20d,Male
SAMN00000182,Muscle,Muscle,15,Infant_0_20d,Female
SAMN00000183,Muscle,Muscle,4,Infant_0_20d,Female
SAMN00000184,Muscle,Muscle,12,Infant_0_20d,Male
SAMN00000185,Muscle,Muscle,1,Infant_0_20d,Male
SAMN00000186,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000187,Muscle,Muscle,19,Infant_0_20d,Male
SAMN00000188,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000189,Muscle,Muscle,19,Infant_0_20d,Male
SAMN00000190,Muscle,Muscle,1,Infant_0_20d,Male
SAMN00000191,Muscle,Muscle,6,Infant_0_20d,Female
SAMN00000192,Muscle,Muscle,6,Infant_0_20d,Male
SAMN00000193,Muscle,Muscle,11,Infant_0_20d,Female
SAMN00000194,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000195,Muscle,Muscle,2,Infant_0_20d,Male
SAMN00000196,Muscle,Muscle,4,Infant_0_20d,Female
SAMN00000197,Muscle,Muscle,10,Infant_0_20d,Male
SAMN00000198,Muscle,Muscle,13,Infant_0_20d,Male
SAMN00000199,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000200,Muscle,Muscle,3,Infant_0_20d,Female
SAMN00000201,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000202,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000203,Muscle,Muscle,19,Infant_0_20d,Male
SAMN00000204,Muscle,Muscle,3,Infant_0_20d,Male
SAMN00000205,Muscle,Muscle,19,Infant_0_20d,Female
SAMN00000206,Muscle,Muscle,2,Infant_0_20d,Male
SAMN00000207,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000208,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000209,Muscle,Muscle,14,Infant_0_20d,Male
SAMN00000210,Muscle,Muscle,14,Infant_0_20d,Female
SAMN00000211,Muscle,Muscle,13,Infant_0_20d,Female
SAMN00000212,Muscle,Muscle,15,Infant_0_20d,Male
SAMN00000213,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000214,Muscle,Muscle,10,Infant_0_20d,Female
SAMN00000215,Muscle,Muscle,2,Infant_0_20d,Male
SAMN00000216,Muscle,Muscle,15,Infant_0_20d,Female
SAMN00000217,Muscle,Muscle,7,Infant_0_20d,Female
SAMN00000218,Muscle,Muscle,6,Infant_0_20d,Male
SAMN00000219,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000220,Muscle,Muscle,8,Infant_0_20d,Female
SAMN00000221,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000222,Muscle,Muscle,5,Infant_0_20d,Male
SAMN00000223,Muscle,Muscle,11,Infant_0_20d,Female
SAMN00000224,Muscle,Muscle,15,Infant_0_20d,Male
SAMN00000225,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000226,Muscle,Muscle,2,Infant_0_20d,Male
SAMN00000227,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000228,Muscle,Muscle,12,Infant_0_20d,Male
SAMN00000229,Muscle,Muscle,10,Infant_0_20d,Male
SAMN00000230,Muscle,Muscle,4,Infant_0_20d,Female
SAMN00000231,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000232,Muscle,Muscle,19,Infant_0_20d,Female
SAMN00000233,Muscle,Muscle,7,Infant_0_20d,Female
SAMN00000234,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000235,Muscle,Muscle,11,Infant_0_20d,Female
SAMN00000236,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000237,Muscle,Muscle,2,Infant_0_20d,Male
SAMN00000238,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000239,Muscle,Muscle,4,Infant_0_20d,Female
SAMN00000240,Muscle,Muscle,2,Infant_0_20d,Female
SAMN00000241,Muscle,Muscle,3,Infant_0_20d,Female
SAMN00000242,Muscle,Muscle,4,Infant_0_20d,Female
SAMN00000243,Muscle,Muscle,1,Infant_0_20d,Female
SAMN00000244,Muscle,Muscle,16,Infant_0_20d,Female
SAMN00000245,Muscle,Muscle,2,Infant_0_20d,Female
SAMN00000246,Muscle,Muscle,11,Infant_0_20d,Female
SAMN00000247,Muscle,Muscle,14,Infant_0_20d,Female
SAMN00000248,Muscle,Muscle,5,Infant_0_20d,Male
SAMN00000249,Muscle,Muscle,6,Infant_0_20d,Male
SAMN00000250,Muscle,Muscle,8,Infant_0_20d,Female
SAMN00000251,Muscle,Muscle,12,Infant_0_20d,Female
SAMN00000252,Muscle,Muscle,19,Infant_0_20d,Male
SAMN00000253,Muscle,Muscle,14,Infant_0_20d,Male
SAMN00000254,Muscle,Muscle,9,Infant_0_20d,Female
SAMN00000255,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000256,Muscle,Muscle,17,Infant_0_20d,Male
SAMN00000257,Muscle,Muscle,18,Infant_0_20d,Male
SAMN00000258,Muscle,Muscle,2,Infant_0_20d,Female
SAMN00000259,Muscle,Muscle,15,Infant_0_20d,Female
SAMN00000260,Muscle,Muscle,17,Infant_0_20d,Male
SAMN00000261,Muscle,Muscle,13,Infant_0_20d,Male
SAMN00000262,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000263,Muscle,Muscle,15,Infant_0_20d,Female
SAMN00000264,Muscle,Muscle,13,Infant_0_20d,Female
SAMN00000265,Muscle,Muscle,3,Infant_0_20d,Male
SAMN00000266,Muscle,Muscle,17,Infant_0_20d,Male
SAMN00000267,Muscle,Muscle,6,Infant_0_20d,Female
SAMN00000268,Muscle,Muscle,17,Infant_0_20d,Male
SAMN00000269,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000270,Muscle,Muscle,17,Infant_0_20d,Male
SAMN00000271,Muscle,Muscle,8,Infant_0_20d,Male
SAMN00000272,Muscle,Muscle,3,Infant_0_20d,Male
SAMN00000273,Muscle,Muscle,50,Early childhood_21_59d,Male
SAMN00000274,Muscle,Muscle,30,Early childhood_21_59d,Female
SAMN00000275,Muscle,Muscle,21,Early childhood_21_59d,Female
SAMN00000276,Muscle,Muscle,28,Early childhood_21_59d,Female
SAMN00000277,Muscle,Muscle,38,Early childhood_21_59d,Male
SAMN00000278,Muscle,Muscle,42,Early childhood_21_59d,Male
SAMN00000279,Muscle,Muscle,26,Early childhood_21_59d,Female
SAMN00000280,Muscle,Muscle,50,Early childhood_21_59d,Female
SAMN00000281,Muscle,Muscle,36,Early childhood_21_59d,Male
SAMN00000282,Muscle,Muscle,58,Early childhood_21_59d,Female
SAMN00000283,Muscle,Muscle,28,Early childhood_21_59d,Male
SAMN00000284,Muscle,Muscle,27,Early childhood_21_59d,Male
SAMN00000285,Muscle,Muscle,27,Early childhood_21_59d,Female
SAMN00000286,Muscle,Muscle,58,Early childhood_21_59d,Male
SAMN00000287,Muscle,Muscle,40,Early childhood_21_59d,Male
SAMN00000288,Muscle,Muscle,38,Early childhood_21_59d,Male
SAMN00000289,Muscle,Muscle,43,Early childhood_21_59d,Male
SAMN00000290,Muscle,Muscle,38,Early childhood_21_59d,Female
SAMN00000291,Muscle,Muscle,31,Early childhood_21_59d,Female
SAMN00000292,Muscle,Muscle,31,Early childhood_21_59d,Male
SAMN00000293,Muscle,Muscle,56,Early childhood_21_59d,Male
SAMN00000294,Muscle,Muscle,23,Early childhood_21_59d,Female
SAMN00000295,Muscle,Muscle,51,Early childhood_21_59d,Female
SAMN00000296,Muscle,Muscle,22,Early childhood_21_59d,Male
SAMN00000297,Muscle,Muscle,47,Early childhood_21_59d,Female
SAMN00000298,Muscle,Muscle,40,Early childhood_21_59d,Male
SAMN00000299,Muscle,Muscle,37,Early childhood_21_59d,Male
SAMN00000300,Muscle,Muscle,29,Early childhood_21_59d,Female
SAMN00000301,Muscle,Muscle,31,Early childhood_21_59d,Male
SAMN00000302,Muscle,Muscle,53,Early childhood_21_59d,Female
SAMN00000303,Muscle,Muscle,58,Early childhood_21_59d,Female
SAMN00000304,Muscle,Muscle,37,Early childhood_21_59d,Male
SAMN00000305,Muscle,Muscle,45,Early childhood_21_59d,Male
SAMN00000306,Muscle,Muscle,51,Early childhood_21_59d,Male
SAMN00000307,Muscle,Muscle,54,Early childhood_21_59d,Male
SAMN00000308,Muscle,Muscle,21,Early childhood_21_59d,Male
SAMN00000309,Muscle,Muscle,21,Early childhood_21_59d,Female
SAMN00000310,Muscle,Muscle,38,Early childhood_21_59d,Male
SAMN00000311,Muscle,Muscle,47,Early childhood_21_59d,Male
SAMN00000312,Muscle,Muscle,49,Early childhood_21_59d,Male
SAMN00000313,Muscle,Muscle,27,Early childhood_21_59d,Female
SAMN00000314,Muscle,Muscle,36,Early childhood_21_59d,Female
SAMN00000315,Muscle,Muscle,39,Early childhood_21_59d,Male
SAMN00000316,Muscle,Muscle,23,Early childhood_21_59d,Male
SAMN00000317,Muscle,Muscle,56,Early childhood_21_59d,Female
SAMN00000318,Muscle,Muscle,29,Early childhood_21_59d,Female
SAMN00000319,Muscle,Muscle,26,Early childhood_21_59d,Female
SAMN00000320,Muscle,Muscle,56,Early childhood_21_59d,Male
SAMN00000321,Muscle,Muscle,55,Early childhood_21_59d,Female
SAMN00000322,Muscle,Muscle,22,Early childhood_21_59d,Female
SAMN00000323,Muscle,Muscle,22,Early childhood_21_59d,Female
SAMN00000324,Muscle,Muscle,39,Early childhood_21_59d,Male
SAMN00000325,Muscle,Muscle,22,Early childhood_21_59d,Male
SAMN00000326,Muscle,Muscle,26,Early childhood_21_59d,Male
SAMN00000327,Muscle,Muscle,40,Early childhood_21_59d,Female
SAMN00000328,Muscle,Muscle,49,Early childhood_21_59d,Female
SAMN00000329,Muscle,Muscle,40,Early childhood_21_59d,Male
SAMN00000330,Muscle,Muscle,46,Early childhood_21_59d,Female
SAMN00000331,Muscle,Muscle,26,Early childhood_21_59d,Male
SAMN00000332,Muscle,Muscle,24,Early childhood_21_59d,Male
SAMN00000333,Muscle,Muscle,48,Early childhood_21_59d,Male
SAMN00000334,Muscle,Muscle,45,Early childhood_21_59d,Male
SAMN00000335,Muscle,Muscle,36,Early childhood_21_59d,Male
SAMN00000336,Muscle,Muscle,43,Early childhood_21_59d,Female
SAMN00000337,Muscle,Muscle,25,Early childhood_21_59d,Male
SAMN00000338,Muscle,Muscle,42,Early childhood_21_59d,Female
SAMN00000339,Muscle,Muscle,51,Early childhood_21_59d,Male
SAMN00000340,Muscle,Muscle,45,Early childhood_21_59d,Female
SAMN00000341,Muscle,Muscle,36,Early childhood_21_59d,Male
SAMN00000342,Muscle,Muscle,50,Early childhood_21_59d,Male
SAMN00000343,Muscle,Muscle,27,Early childhood_21_59d,Female
SAMN00000344,Muscle,Muscle,39,Early childhood_21_59d,Male
SAMN00000345,Muscle,Muscle,23,Early childhood_21_59d,Male
SAMN00000346,Muscle,Muscle,29,Early childhood_21_59d,Female
SAMN00000347,Muscle,Muscle,28,Early childhood_21_59d,Male
SAMN00000348,Muscle,Muscle,27,Early childhood_21_59d,Female
SAMN00000349,Muscle,Muscle,32,Early childhood_21_59d,Female
SAMN00000350,Muscle,Muscle,36,Early childhood_21_59d,Male
SAMN00000351,Muscle,Muscle,38,Early childhood_21_59d,Female
SAMN00000352,Muscle,Muscle,43,Early childhood_21_59d,Male
SAMN00000353,Muscle,Muscle,58,Early childhood_21_59d,Male
SAMN00000354,Muscle,Muscle,35,Early childhood_21_59d,Female
SAMN00000355,Muscle,Muscle,39,Early childhood_21_59d,Male
SAMN00000356,Muscle,Muscle,33,Early childhood_21_59d,Male
SAMN00000357,Muscle,Muscle,55,Early childhood_21_59d,Male
SAMN00000358,Muscle,Muscle,29,Early childhood_21_59d,Female
SAMN00000359,Muscle,Muscle,22,Early childhood_21_59d,Male
SAMN00000360,Muscle,Muscle,28,Early childhood_21_59d,Male
SAMN00000361,Muscle,Muscle,49,Early childhood_21_59d,Female
SAMN00000362,Muscle,Muscle,41,Early childhood_21_59d,Male
SAMN00000363,Muscle,Muscle,40,Early childhood_21_59d,Male
SAMN00000364,Muscle,Muscle,29,Early childhood_21_59d,Male
SAMN00000365,Muscle,Muscle,93,Pre_pubertal_60_149d,Female
SAMN00000366,Muscle,Muscle,92,Pre_pubertal_60_149d,Female
SAMN00000367,Muscle,Muscle,92,Pre_pubertal_60_149d,Male
SAMN00000368,Muscle,Muscle,137,Pre_pubertal_60_149d,Male
SAMN00000369,Muscle,Muscle,113,Pre_pubertal_60_149d,Male
SAMN00000370,Muscle,Muscle,72,Pre_pubertal_60_149d,Male
SAMN00000371,Muscle,Muscle,114,Pre_pubertal_60_149d,Female
SAMN00000372,Muscle,Muscle,139,Pre_pubertal_60_149d,Female
SAMN00000373,Muscle,Muscle,69,Pre_pubertal_60_149d,Female
SAMN00000374,Muscle,Muscle,132,Pre_pubertal_60_149d,Female
SAMN00000375,Muscle,Muscle,122,Pre_pubertal_60_149d,Female
SAMN00000376,Muscle,Muscle,97,Pre_pubertal_60_149d,Female
SAMN00000377,Muscle,Muscle,131,Pre_pubertal_60_149d,Female
SAMN00000378,Muscle,Muscle,102,Pre_pubertal_60_149d,Male
SAMN00000379,Muscle,Muscle,141,Pre_pubertal_60_149d,Male
SAMN00000380,Muscle,Muscle,78,Pre_pubertal_60_149d,Female
SAMN00000381,Muscle,Muscle,105,Pre_pubertal_60_149d,Male
SAMN00000382,Muscle,Muscle,137,Pre_pubertal_60_149d,Male
SAMN00000383,Muscle,Muscle,97,Pre_pubertal_60_149d,Male
SAMN00000384,Muscle,Muscle,102,Pre_pubertal_60_149d,Female
SAMN00000385,Muscle,Muscle,91,Pre_pubertal_60_149d,Male
SAMN00000386,Muscle,Muscle,101,Pre_pubertal_60_149d,Female
SAMN00000387,Muscle,Muscle,108,Pre_pubertal_60_149d,Male
SAMN00000388,Muscle,Muscle,68,Pre_pubertal_60_149d,Female
SAMN00000389,Muscle,Muscle,112,Pre_pubertal_60_149d,Female
SAMN00000390,Muscle,Muscle,77,Pre_pubertal_60_149d,Female
SAMN00000391,Muscle,Muscle,87,Pre_pubertal_60_149d,Female
SAMN00000392,Muscle,Muscle,146,Pre_pubertal_60_149d,Male
SAMN00000393,Muscle,Muscle,142,Pre_pubertal_60_149d,Male
SAMN00000394,Muscle,Muscle,127,Pre_pubertal_60_149d,Male
SAMN00000395,Muscle,Muscle,80,Pre_pubertal_60_149d,Male
SAMN00000396,Muscle,Muscle,98,Pre_pubertal_60_149d,Male
SAMN00000397,Muscle,Muscle,125,Pre_pubertal_60_149d,Male
SAMN00000398,Muscle,Muscle,63,Pre_pubertal_60_149d,Male
SAMN00000399,Muscle,Muscle,139,Pre_pubertal_60_149d,Male
SAMN00000400,Muscle,Muscle,76,Pre_pubertal_60_149d,Female
SAMN00000401,Muscle,Muscle,112,Pre_pubertal_60_149d,Female
SAMN00000402,Muscle,Muscle,124,Pre_pubertal_60_149d,Male
SAMN00000403,Muscle,Muscle,72,Pre_pubertal_60_149d,Male
SAMN00000404,Muscle,Muscle,137,Pre_pubertal_60_149d,Female
SAMN00000405,Muscle,Muscle,134,Pre_pubertal_60_149d,Female
SAMN00000406,Muscle,Muscle,103,Pre_pubertal_60_149d,Male
SAMN00000407,Muscle,Muscle,98,Pre_pubertal_60_149d,Female
SAMN00000408,Muscle,Muscle,104,Pre_pubertal_60_149d,Female
SAMN00000409,Muscle,Muscle,115,Pre_pubertal_60_149d,Female
SAMN00000410,Muscle,Muscle,61,Pre_pubertal_60_149d,Female
SAMN00000411,Muscle,Muscle,147,Pre_pubertal_60_149d,Male
SAMN00000412,Muscle,Muscle,85,Pre_pubertal_60_149d,Female
SAMN00000413,Muscle,Muscle,95,Pre_pubertal_60_149d,Female
SAMN00000414,Muscle,Muscle,113,Pre_pubertal_60_149d,Male
SAMN00000415,Muscle,Muscle,122,Pre_pubertal_60_149d,Female
SAMN00000416,Muscle,Muscle,69,Pre_pubertal_60_149d,Female
SAMN00000417,Muscle,Muscle,104,Pre_pubertal_60_149d,Male
SAMN00000418,Muscle,Muscle,74,Pre_pubertal_60_149d,Female
SAMN00000419,Muscle,Muscle,129,Pre_pubertal_60_149d,Male
SAMN00000420,Muscle,Muscle,129,Pre_pubertal_60_149d,Female
