tissue,rank,ensembl_id,symbol,description,biotype
Blood,28,ENSSSCG00000009799,DIABLO,"diablo IAP-binding mitochondrial protein [Source:NCBI gene (formerly Entrezgene);Acc:100155744]",protein_coding
Blood,29,ENSSSCG00000013012,SNX15,"sorting nexin 15 [Source:VGNC Symbol;Acc:VGNC:100864]",protein_coding
Blood,30,ENSSSCG00000004041,SLC22A1,"solute carrier family 22 member 1 [Source:VGNC Symbol;Acc:VGNC:103179]",protein_coding
Blood,31,ENSSSCG00000037425,NFAM1,"NFAT activating protein with ITAM motif 1 [Source:VGNC Symbol;Acc:VGNC:90706]",protein_coding
Blood,32,ENSSSCG00000034753,FAM177A1,"family with sequence similarity 177 member A1 [Source:VGNC Symbol;Acc:VGNC:87933]",protein_coding
Blood,33,ENSSSCG00000022512,ENSSSCG00000022512,"N/A",N/A
Blood,34,ENSSSCG00000022337,SERPINB11,"serpin family B member 11 [Source:VGNC Symbol;Acc:VGNC:99748]",protein_coding
Blood,35,ENSSSCG00000040187,ENSSSCG00000040187,"",protein_coding
Blood,36,ENSSSCG00000038287,RDH13,"retinol dehydrogenase 13 [Source:VGNC Symbol;Acc:VGNC:98287]",protein_coding
Blood,37,ENSSSCG00000015448,NME8,"NME/NM23 family member 8 [Source:VGNC Symbol;Acc:VGNC:90795]",protein_coding
Blood,38,ENSSSCG00000003651,RHBDL2,"rhomboid like 2 [Source:VGNC Symbol;Acc:VGNC:92278]",protein_coding
Blood,39,ENSSSCG00000040929,TPT1,"tumor protein, translationally-controlled 1 [Source:NCBI gene (formerly Entrezgene);Acc:397664]",protein_coding
Blood,40,ENSSSCG00000045354,ENSSSCG00000045354,"",lncRNA
Blood,41,ENSSSCG00000012087,SLC37A1,"solute carrier family 37 member 1 [Source:VGNC Symbol;Acc:VGNC:98322]",protein_coding
Blood,42,ENSSSCG00000046332,ENSSSCG00000046332,"N/A",N/A
Blood,43,ENSSSCG00000019255,MIR374B,"microRNA 374b [Source:HGNC Symbol;Acc:HGNC:33665]",miRNA
Blood,44,ENSSSCG00000012400,SNX12,"sorting nexin 12 [Source:VGNC Symbol;Acc:VGNC:93305]",protein_coding
Blood,45,ENSSSCG00000047910,ENSSSCG00000047910,"",lncRNA
Blood,46,ENSSSCG00000012375,DLG3,"discs large MAGUK scaffold protein 3 [Source:VGNC Symbol;Acc:VGNC:87327]",protein_coding
Blood,47,ENSSSCG00000050149,ENSSSCG00000050149,"",lncRNA
Blood,48,ENSSSCG00000043604,ENSSSCG00000043604,"",lncRNA
Blood,49,ENSSSCG00000018359,ssc-mir-421,"ssc-mir-421 [Source:miRBase;Acc:MI0015925]",miRNA
Blood,50,ENSSSCG00000042069,ENSSSCG00000042069,"",lncRNA
Brain,1,ENSSSCG00000005379,GALNT12,"polypeptide N-acetylgalactosaminyltransferase 12 [Source:VGNC Symbol;Acc:VGNC:88329]",protein_coding
Brain,2,ENSSSCG00000005740,SARDH,"sarcosine dehydrogenase [Source:VGNC Symbol;Acc:VGNC:92581]",protein_coding
Brain,3,ENSSSCG00000041354,ENSSSCG00000041354,"N/A",N/A
Brain,4,ENSSSCG00000046117,ENSSSCG00000046117,"N/A",N/A
Brain,5,ENSSSCG00000031916,ENSSSCG00000031916,"",protein_coding
Brain,6,ENSSSCG00000039332,SEC16B,"SEC16 homolog B, endoplasmic reticulum export factor [Source:VGNC Symbol;Acc:VGNC:92672]",protein_coding
Brain,7,ENSSSCG00000039984,KLK6,"kallikrein related peptidase 6 [Source:VGNC Symbol;Acc:VGNC:89545]",protein_coding
Brain,8,ENSSSCG00000047982,ENSSSCG00000047982,"",lncRNA
Brain,9,ENSSSCG00000018995,SNORD7,"small nucleolar RNA, C/D box 7 [Source:HGNC Symbol;Acc:HGNC:32704]",snoRNA
Brain,10,ENSSSCG00000014039,RGS14,"regulator of G protein signaling 14 [Source:VGNC Symbol;Acc:VGNC:92261]",protein_coding
Brain,11,ENSSSCG00000002967,CAPN12,"calpain 12 [Source:VGNC Symbol;Acc:VGNC:86172]",protein_coding
Brain,12,ENSSSCG00000046640,OAS1,"2'-5'-oligoadenylate synthetase 1 [Source:UniProtKB Gene Name;Acc:A0A5G2QIL7]",protein_coding
Brain,13,ENSSSCG00000006141,CA3,"carbonic anhydrase 3 [Source:NCBI gene (formerly Entrezgene);Acc:494016]",protein_coding
Brain,14,ENSSSCG00000042482,ENSSSCG00000042482,"",protein_coding
Brain,15,ENSSSCG00000013836,WIZ,"WIZ zinc finger [Source:VGNC Symbol;Acc:VGNC:100883]",protein_coding
Brain,16,ENSSSCG00000031027,IRS4,"insulin receptor substrate 4 [Source:UniProtKB Gene Name;Acc:A0A5K1VEI3]",protein_coding
Brain,17,ENSSSCG00000044456,ENSSSCG00000044456,"N/A",N/A
Brain,18,ENSSSCG00000003651,RHBDL2,"rhomboid like 2 [Source:VGNC Symbol;Acc:VGNC:92278]",protein_coding
Brain,19,ENSSSCG00000041411,ENSSSCG00000041411,"N/A",N/A
Brain,20,ENSSSCG00000028741,DNMT3L,"DNA methyltransferase 3 like [Source:VGNC Symbol;Acc:VGNC:111190]",protein_coding
Brain,21,ENSSSCG00000003852,SLC1A7,"solute carrier family 1 member 7 [Source:VGNC Symbol;Acc:VGNC:92969]",protein_coding
Brain,22,ENSSSCG00000012286,ZNF630,"zinc finger protein 630 [Source:VGNC Symbol;Acc:VGNC:95280]",protein_coding
Brain,23,ENSSSCG00000025599,FTSJ1,"FtsJ RNA 2'-O-methyltransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:100431100]",protein_coding
Brain,24,ENSSSCG00000028284,KCND1,"potassium voltage-gated channel subfamily D member 1 [Source:VGNC Symbol;Acc:VGNC:89336]",protein_coding
Brain,25,ENSSSCG00000021106,GRIPAP1,"GRIP1 associated protein 1 [Source:VGNC Symbol;Acc:VGNC:88692]",protein_coding
Brain,26,ENSSSCG00000025981,SLC38A5,"solute carrier family 38 member 5 [Source:NCBI gene (formerly Entrezgene);Acc:100627516]",protein_coding
Brain,27,ENSSSCG00000012284,ZNF182,"zinc finger protein 182 [Source:VGNC Symbol;Acc:VGNC:95199]",protein_coding
Brain,28,ENSSSCG00000012283,ZNF81,"zinc finger protein 81 [Source:VGNC Symbol;Acc:VGNC:95308]",protein_coding
Brain,29,ENSSSCG00000012287,TFE3,"transcription factor binding to IGHM enhancer 3 [Source:VGNC Symbol;Acc:VGNC:93916]",protein_coding
Brain,30,ENSSSCG00000012280,UXT,"ubiquitously expressed prefoldin like chaperone [Source:VGNC Symbol;Acc:VGNC:94792]",protein_coding
Brain,31,ENSSSCG00000012278,CFP,"complement factor properdin [Source:VGNC Symbol;Acc:VGNC:86612]",protein_coding
Brain,32,ENSSSCG00000012288,CCDC120,"coiled-coil domain containing 120 [Source:VGNC Symbol;Acc:VGNC:86249]",protein_coding
Brain,33,ENSSSCG00000024793,PORCN,"porcupine O-acyltransferase [Source:VGNC Symbol;Acc:VGNC:91669]",protein_coding
Brain,34,ENSSSCG00000028964,PIM2,"Pim-2 proto-onco, serine/threonine kinase [Source:VGNC Symbol;Acc:VGNC:91449]",protein_coding
Brain,35,ENSSSCG00000032768,EBP,"EBP cholestenol delta-isomerase [Source:NCBI gene (formerly Entrezgene);Acc:100312968]",protein_coding
Brain,36,ENSSSCG00000027237,GATA1,"GATA binding protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:100620659]",protein_coding
Brain,37,ENSSSCG00000024841,SLC35A2,"solute carrier family 35 member A2 [Source:VGNC Symbol;Acc:VGNC:93068]",protein_coding
Brain,38,ENSSSCG00000025264,PQBP1,"polyglutamine binding protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:100620849]",protein_coding
Brain,39,ENSSSCG00000022647,TIMM17B,"translocase of inner mitochondrial membrane 17B [Source:VGNC Symbol;Acc:VGNC:93986]",protein_coding
Brain,40,ENSSSCG00000021328,PCSK1N,"proprotein convertase subtilisin/kexin type 1 inhibitor [Source:VGNC Symbol;Acc:VGNC:91231]",protein_coding
Brain,41,ENSSSCG00000042563,ERAS,"ES cell expressed Ras [Source:UniProtKB Gene Name;Acc:A0A8W4FGM7]",protein_coding
Brain,42,ENSSSCG00000025545,HDAC6,"histone deacetylase 6 [Source:VGNC Symbol;Acc:VGNC:88816]",protein_coding
Brain,43,ENSSSCG00000031477,GLOD5,"glyoxalase domain containing 5 [Source:VGNC Symbol;Acc:VGNC:88488]",protein_coding
Brain,44,ENSSSCG00000021934,OTUD5,"OTU deubiquitinase 5 [Source:VGNC Symbol;Acc:VGNC:91101]",protein_coding
Brain,45,ENSSSCG00000012277,TIMP1,"TIMP metallopeptidase inhibitor 1 [Source:NCBI gene (formerly Entrezgene);Acc:396862]",protein_coding
Brain,46,ENSSSCG00000032453,SUV39H1,"SUV39H1 histone lysine methyltransferase [Source:VGNC Symbol;Acc:VGNC:93637]",protein_coding
Brain,47,ENSSSCG00000036747,WAS,"WASP actin nucleation promoting factor [Source:VGNC Symbol;Acc:VGNC:96603]",protein_coding
Brain,48,ENSSSCG00000023759,WDR13,"WD repeat domain 13 [Source:VGNC Symbol;Acc:VGNC:94907]",protein_coding
Brain,49,ENSSSCG00000021591,RBM3,"RNA binding motif protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:100627807]",protein_coding
Brain,50,ENSSSCG00000040599,TBC1D25,"TBC1 domain family member 25 [Source:VGNC Symbol;Acc:VGNC:93773]",protein_coding
Liver,1,ENSSSCG00000034280,LARP1B,"La ribonucleoprotein 1B [Source:VGNC Symbol;Acc:VGNC:89640]",protein_coding
Liver,2,ENSSSCG00000050649,ENSSSCG00000050649,"N/A",N/A
Liver,3,ENSSSCG00000043977,ENSSSCG00000043977,"",protein_coding
Liver,4,ENSSSCG00000004886,CDH7,"cadherin 7 [Source:VGNC Symbol;Acc:VGNC:97923]",protein_coding
Liver,5,ENSSSCG00000005232,ENSSSCG00000005232,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:VGNC Symbol;Acc:VGNC:93226]",protein_coding
Liver,6,ENSSSCG00000033368,ENSSSCG00000033368,"N/A",N/A
Liver,7,ENSSSCG00000050566,ENSSSCG00000050566,"",lncRNA
Liver,8,ENSSSCG00000012053,CBR3,"carbonyl reductase 3 [Source:NCBI gene (formerly Entrezgene);Acc:100512990]",protein_coding
Liver,9,ENSSSCG00000010495,ALDH18A1,"aldehyde dehydrogenase 18 family member A1 [Source:VGNC Symbol;Acc:VGNC:85237]",protein_coding
Liver,10,ENSSSCG00000027538,TMEM258,"transmembrane protein 258 [Source:VGNC Symbol;Acc:VGNC:111107]",protein_coding
Liver,11,ENSSSCG00000008935,ENSSSCG00000008935,"",protein_coding
Liver,12,ENSSSCG00000033310,ENSSSCG00000033310,"",protein_coding
Liver,13,ENSSSCG00000016314,TRPM8,"transient receptor potential cation channel subfamily M member 8 [Source:VGNC Symbol;Acc:VGNC:95867]",protein_coding
Liver,14,ENSSSCG00000045433,ENSSSCG00000045433,"N/A",N/A
Liver,15,ENSSSCG00000037120,TK1,"thymidine kinase 1 [Source:VGNC Symbol;Acc:VGNC:94007]",protein_coding
Liver,16,ENSSSCG00000028552,BHLHE41,"basic helix-loop-helix family member e41 [Source:VGNC Symbol;Acc:VGNC:85815]",protein_coding
Liver,17,ENSSSCG00000004280,RIMS1,"regulating synaptic membrane exocytosis 1 [Source:VGNC Symbol;Acc:VGNC:92309]",protein_coding
Liver,18,ENSSSCG00000016792,RETREG1,"reticulophagy regulator 1 [Source:VGNC Symbol;Acc:VGNC:92223]",protein_coding
Liver,19,ENSSSCG00000014257,SLC27A6,"solute carrier family 27 member 6 [Source:VGNC Symbol;Acc:VGNC:93040]",protein_coding
Liver,20,ENSSSCG00000012613,NKAP,"NFKB activating protein [Source:NCBI gene (formerly Entrezgene);Acc:100514505]",protein_coding
Liver,21,ENSSSCG00000032923,PRND,"prion like protein doppel [Source:VGNC Symbol;Acc:VGNC:95648]",protein_coding
Liver,22,ENSSSCG00000008171,NPAS2,"neuronal PAS domain protein 2 [Source:VGNC Symbol;Acc:VGNC:90837]",protein_coding
Liver,23,ENSSSCG00000003177,ENSSSCG00000003177,"BCL2 like 12 [Source:VGNC Symbol;Acc:VGNC:85780]",protein_coding
Liver,24,ENSSSCG00000036428,ENSSSCG00000036428,"N/A",N/A
Liver,25,ENSSSCG00000029096,HRH2,"histamine receptor H2 [Source:VGNC Symbol;Acc:VGNC:88974]",protein_coding
Liver,26,ENSSSCG00000013377,USH1C,"USH1 protein network component harmonin [Source:VGNC Symbol;Acc:VGNC:94738]",protein_coding
Liver,27,ENSSSCG00000011376,IHO1,"interactor of HORMAD1 1 [Source:VGNC Symbol;Acc:VGNC:86295]",protein_coding
Liver,28,ENSSSCG00000006897,CCDC18,"coiled-coil domain containing 18 [Source:VGNC Symbol;Acc:VGNC:86277]",protein_coding
Liver,29,ENSSSCG00000028414,ENSSSCG00000028414,"mitochondrial contact site and cristae organizing system subunit 10 [Source:UniProtKB Gene Name;Acc:I3LAH2]",protein_coding
Liver,30,ENSSSCG00000011720,MBNL1,"muscleblind like splicing regulator 1 [Source:VGNC Symbol;Acc:VGNC:90054]",protein_coding
Liver,31,ENSSSCG00000018926,SNORD18,"Small nucleolar RNA SNORD18 [Source:RFAM;Acc:RF00093]",snoRNA
Liver,32,ENSSSCG00000007524,ENSSSCG00000007524,"N/A",N/A
Liver,33,ENSSSCG00000040313,PSKH1,"protein serine kinase H1 [Source:VGNC Symbol;Acc:VGNC:91899]",protein_coding
Liver,34,ENSSSCG00000033332,PSMA7,"proteasome 20S subunit alpha 7 [Source:NCBI gene (formerly Entrezgene);Acc:100626738]",protein_coding
Liver,35,ENSSSCG00000016397,NEB,"nebulin [Source:VGNC Symbol;Acc:VGNC:96437]",protein_coding
Liver,36,ENSSSCG00000005659,ZER1,"zyg-11 related cell cycle regulator [Source:VGNC Symbol;Acc:VGNC:95132]",protein_coding
Liver,37,ENSSSCG00000028623,RARRES1,"retinoic acid receptor responder 1 [Source:VGNC Symbol;Acc:VGNC:92097]",protein_coding
Liver,38,ENSSSCG00000017566,ACSF2,"acyl-CoA synthetase family member 2 [Source:VGNC Symbol;Acc:VGNC:85031]",protein_coding
Liver,39,ENSSSCG00000025138,ZNF579,"zinc finger protein 579 [Source:VGNC Symbol;Acc:VGNC:98729]",protein_coding
Liver,40,ENSSSCG00000037508,GSN,"gelsolin [Source:UniProtKB Gene Name;Acc:A0A287A6P1]",protein_coding
Liver,41,ENSSSCG00000034639,MGAM,"maltase-glucoamylase [Source:VGNC Symbol;Acc:VGNC:90196]",protein_coding
Liver,42,ENSSSCG00000034492,ENSSSCG00000034492,"N/A",N/A
Liver,43,ENSSSCG00000004401,DDO,"D-aspartate oxidase [Source:NCBI gene (formerly Entrezgene);Acc:100037287]",protein_coding
Liver,44,ENSSSCG00000023903,ATP5ME,"ATP synthase membrane subunit e [Source:NCBI gene (formerly Entrezgene);Acc:396950]",protein_coding
Liver,45,ENSSSCG00000002753,NOB1,"NIN1 (RPN12) binding  [Source:VGNC Symbol;Acc:VGNC:96629]",protein_coding
Liver,46,ENSSSCG00000039094,PLEC,"plectin [Source:VGNC Symbol;Acc:VGNC:91530]",protein_coding
Liver,47,ENSSSCG00000011243,GOLGA4,"golgin A4 [Source:VGNC Symbol;Acc:VGNC:88551]",protein_coding
Liver,48,ENSSSCG00000011269,MYRIP,"myosin VIIA and Rab interacting protein [Source:VGNC Symbol;Acc:VGNC:109577]",protein_coding
Liver,49,ENSSSCG00000017795,NSRP1,"nuclear speckle splicing regulatory protein 1 [Source:VGNC Symbol;Acc:VGNC:90913]",protein_coding
Liver,50,ENSSSCG00000012956,PACS1,"phosphofurin acidic cluster sorting protein 1 [Source:VGNC Symbol;Acc:VGNC:91140]",protein_coding
Lung,1,ENSSSCG00000006902,GFI1,"growth factor independent 1 transcriptional repressor [Source:VGNC Symbol;Acc:VGNC:88420]",protein_coding
Lung,2,ENSSSCG00000011795,IGF2BP2,"insulin like growth factor 2 mRNA binding protein 2 [Source:VGNC Symbol;Acc:VGNC:89055]",protein_coding
Lung,3,ENSSSCG00000004469,LCA5,"lebercilin LCA5 [Source:VGNC Symbol;Acc:VGNC:89654]",protein_coding
Lung,4,ENSSSCG00000033733,HMGN1,"high mobility group nucleosome binding domain 1 [Source:UniProtKB Gene Name;Acc:A0A287B4S0]",protein_coding
Lung,5,ENSSSCG00000031648,CCN5,"cellular communication network factor 5 [Source:VGNC Symbol;Acc:VGNC:95568]",protein_coding
Lung,6,ENSSSCG00000024800,DSC2,"desmocollin 2 [Source:UniProtKB Gene Name;Acc:A0A287B6Z6]",protein_coding
Lung,7,ENSSSCG00000037869,NDUFA5,"NADH:ubiquinone oxidoreductase subunit A5 [Source:VGNC Symbol;Acc:VGNC:110309]",protein_coding
Lung,8,ENSSSCG00000013042,CCDC88B,"coiled-coil domain containing 88B [Source:HGNC Symbol;Acc:HGNC:26757]",protein_coding
Lung,9,ENSSSCG00000021988,TUSC3,"tumor suppressor candidate 3 [Source:VGNC Symbol;Acc:VGNC:108742]",protein_coding
Lung,10,ENSSSCG00000025901,LCLAT1,"lysocardiolipin acyltransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:100217396]",protein_coding
Lung,11,ENSSSCG00000015297,ADAM22,"ADAM metallopeptidase domain 22 [Source:VGNC Symbol;Acc:VGNC:85067]",protein_coding
Lung,12,ENSSSCG00000001596,MOCS1,"molybdenum cofactor synthesis 1 [Source:VGNC Symbol;Acc:VGNC:107153]",protein_coding
Lung,13,ENSSSCG00000011491,THOC7,"THO complex subunit 7 [Source:VGNC Symbol;Acc:VGNC:93960]",protein_coding
Lung,14,ENSSSCG00000032810,GZMM,"granzyme M [Source:VGNC Symbol;Acc:VGNC:88763]",protein_coding
Lung,15,ENSSSCG00000037885,ENSSSCG00000037885,"",protein_coding
Lung,16,ENSSSCG00000049076,ENSSSCG00000049076,"",lncRNA
Lung,17,ENSSSCG00000009569,PSPC1,"paraspeckle component 1 [Source:VGNC Symbol;Acc:VGNC:91930]",protein_coding
Lung,18,ENSSSCG00000009101,PRDM5,"PR/SET domain 5 [Source:VGNC Symbol;Acc:VGNC:98953]",protein_coding
Lung,19,ENSSSCG00000005190,NFIB,"nuclear factor I B [Source:VGNC Symbol;Acc:VGNC:90716]",protein_coding
Lung,20,ENSSSCG00000046507,ENSSSCG00000046507,"N/A",N/A
Lung,21,ENSSSCG00000041875,ENSSSCG00000041875,"N/A",N/A
Lung,22,ENSSSCG00000030821,ENSSSCG00000030821,"Fc alpha and mu receptor [Source:VGNC Symbol;Acc:VGNC:88058]",protein_coding
Lung,23,ENSSSCG00000035110,TRAV4,"T cell receptor alpha variable 4 [Source:UniProtKB Gene Name;Acc:A0A287AKB0]",protein_coding
Lung,24,ENSSSCG00000005015,SOS2,"SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:VGNC Symbol;Acc:VGNC:93344]",protein_coding
Lung,25,ENSSSCG00000001764,SH2D7,"SH2 domain containing 7 [Source:VGNC Symbol;Acc:VGNC:92814]",protein_coding
Lung,26,ENSSSCG00000008874,TMEM144,"transmembrane protein 144 [Source:VGNC Symbol;Acc:VGNC:94091]",protein_coding
Lung,27,ENSSSCG00000037923,ENSSSCG00000037923,"N/A",N/A
Lung,28,ENSSSCG00000016469,TRPV6,"transient receptor potential cation channel subfamily V member 5 [Source:VGNC Symbol;Acc:VGNC:108162]",protein_coding
Lung,29,ENSSSCG00000041717,ENSSSCG00000041717,"",lncRNA
Lung,30,ENSSSCG00000005360,IGFBPL1,"insulin like growth factor binding protein like 1 [Source:VGNC Symbol;Acc:VGNC:89061]",protein_coding
Lung,31,ENSSSCG00000036695,IGF2BP3,"insulin like growth factor 2 mRNA binding protein 3 [Source:VGNC Symbol;Acc:VGNC:89056]",protein_coding
Lung,32,ENSSSCG00000033688,ZDHHC22,"zinc finger DHHC-type palmitoyltransferase 22 [Source:VGNC Symbol;Acc:VGNC:95124]",protein_coding
Lung,33,ENSSSCG00000034220,ENSSSCG00000034220,"",protein_coding
Lung,34,ENSSSCG00000031085,ENSSSCG00000031085,"",protein_coding
Lung,35,ENSSSCG00000010144,ACTN2,"actinin alpha 2 [Source:NCBI gene (formerly Entrezgene);Acc:100157406]",protein_coding
Lung,36,ENSSSCG00000009889,ALDH2,"aldehyde dehydrogenase 2 family member [Source:NCBI gene (formerly Entrezgene);Acc:733685]",protein_coding
Lung,37,ENSSSCG00000010219,ARID5B,"AT-rich interaction domain 5B [Source:VGNC Symbol;Acc:VGNC:85511]",protein_coding
Lung,38,ENSSSCG00000033326,RPL37,"ribosomal protein L37 [Source:NCBI gene (formerly Entrezgene);Acc:100626973]",protein_coding
Lung,39,ENSSSCG00000049481,ENSSSCG00000049481,"N/A",N/A
Lung,40,ENSSSCG00000050256,ENSSSCG00000050256,"",lncRNA
Lung,41,ENSSSCG00000035170,VSIG4,"V-set and immunoglobulin domain containing 4 [Source:NCBI gene (formerly Entrezgene);Acc:100156239]",protein_coding
Lung,42,ENSSSCG00000042179,ENSSSCG00000042179,"",lncRNA
Lung,43,ENSSSCG00000010385,VSTM4,"V-set and transmembrane domain containing 4 [Source:VGNC Symbol;Acc:VGNC:94874]",protein_coding
Lung,44,ENSSSCG00000002078,ENSSSCG00000002078,"",protein_coding
Lung,45,ENSSSCG00000033392,SCML4,"Scm polycomb group protein like 4 [Source:VGNC Symbol;Acc:VGNC:92629]",protein_coding
Lung,46,ENSSSCG00000015775,DCTD,"dCMP deaminase [Source:VGNC Symbol;Acc:VGNC:96151]",protein_coding
Lung,47,ENSSSCG00000006243,PENK,"proenkephalin [Source:VGNC Symbol;Acc:VGNC:91312]",protein_coding
Lung,48,ENSSSCG00000001840,KIF7,"kinesin family member 7 [Source:VGNC Symbol;Acc:VGNC:89473]",protein_coding
Lung,49,ENSSSCG00000003218,MYBPC2,"myosin binding protein C2 [Source:VGNC Symbol;Acc:VGNC:90500]",protein_coding
Lung,50,ENSSSCG00000017193,CDK3,"cyclin dependent kinase 3 [Source:UniProtKB Gene Name;Acc:A0A8D0P3P0]",protein_coding
Muscle,1,ENSSSCG00000037539,SORCS2,"sortilin related VPS10 domain containing receptor 2 [Source:VGNC Symbol;Acc:VGNC:93340]",protein_coding
Muscle,2,ENSSSCG00000036512,FGFRL1,"fibroblast growth factor receptor like 1 [Source:VGNC Symbol;Acc:VGNC:88121]",protein_coding
Muscle,3,ENSSSCG00000012669,ENSSSCG00000012669,"Rho GTPase activating protein 36 [Source:VGNC Symbol;Acc:VGNC:85474]",protein_coding
Muscle,4,ENSSSCG00000004094,PPP1R14C,"protein phosphatase 1 regulatory inhibitor subunit 14C [Source:VGNC Symbol;Acc:VGNC:91724]",protein_coding
Muscle,5,ENSSSCG00000012667,IGSF1,"immunoglobulin superfamily member 1 [Source:VGNC Symbol;Acc:VGNC:89062]",protein_coding
Muscle,6,ENSSSCG00000009972,KREMEN1,"kringle containing transmembrane protein 1 [Source:VGNC Symbol;Acc:VGNC:89572]",protein_coding
Muscle,7,ENSSSCG00000044722,ENSSSCG00000044722,"",lncRNA
Muscle,8,ENSSSCG00000038044,GYG2,"glycogenin 2 [Source:VGNC Symbol;Acc:VGNC:88759]",protein_coding
Muscle,9,ENSSSCG00000006267,PCMTD1,"protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:VGNC Symbol;Acc:VGNC:98830]",protein_coding
Muscle,10,ENSSSCG00000033673,SLC25A6,"solute carrier family 25 member 6 [Source:VGNC Symbol;Acc:VGNC:98321]",protein_coding
Muscle,11,ENSSSCG00000030325,ENSSSCG00000030325,"N/A",N/A
Muscle,12,ENSSSCG00000030303,ACHE,"acetylcholinesterase [Source:VGNC Symbol;Acc:VGNC:97029]",protein_coding
Muscle,13,ENSSSCG00000004803,ACTC1,"actin alpha cardiac muscle 1 [Source:NCBI gene (formerly Entrezgene);Acc:100152267]",protein_coding
Muscle,14,ENSSSCG00000044729,ENSSSCG00000044729,"N/A",N/A
Muscle,15,ENSSSCG00000028771,MEF2A,"myocyte enhancer factor 2A [Source:NCBI gene (formerly Entrezgene);Acc:100037273]",protein_coding
Muscle,16,ENSSSCG00000004399,SLC22A16,"solute carrier family 22 member 16 [Source:VGNC Symbol;Acc:VGNC:92976]",protein_coding
Muscle,17,ENSSSCG00000022280,DACT3,"dishevelled binding antagonist of beta catenin 3 [Source:VGNC Symbol;Acc:VGNC:87149]",protein_coding
Muscle,18,ENSSSCG00000027613,TRDN,"triadin [Source:VGNC Symbol;Acc:VGNC:103195]",protein_coding
