symbol,pig_gene_id,human_gene_id,is_one_to_one,homology_type
ACVR2A,ENSSSCG00000015669,ENSG00000121989,True,ortholog_one2one
ACVR2B,ENSSSCG00000011257,ENSG00000114739,True,ortholog_one2one
ADAM10,ENSSSCG00000004595,ENSG00000137845,True,ortholog_one2one
ADAM11,ENSSSCG00000017349,ENSG00000073670,True,ortholog_one2one
ADAM17,ENSSSCG00000008641,ENSG00000151694,True,ortholog_one2one
ADAM18,ENSSSCG00000007008,ENSG00000168619,True,ortholog_one2one
ADAM19,ENSSSCG00000017052,ENSG00000135074,True,ortholog_one2one
ADAM2,ENSSSCG00000045907,ENSG00000104755,True,ortholog_one2one
ADAM20,ENSSSCG00000034126,ENSG00000134007,True,ortholog_one2one
ADAM22,ENSSSCG00000015297,ENSG00000008277,True,ortholog_one2one
ADAM23,ENSSSCG00000016131,ENSG00000114948,True,ortholog_one2one
ADAMTS16,ENSSSCG00000017109,ENSG00000145536,True,ortholog_one2one
ADAMTS17,ENSSSCG00000038452,ENSG00000140470,True,ortholog_one2one
ADAMTS18,ENSSSCG00000038627,ENSG00000140873,True,ortholog_one2one
ADAMTS19,ENSSSCG00000014259,ENSG00000145808,True,ortholog_one2one
ADAMTS2,ENSSSCG00000024043,ENSG00000087116,True,ortholog_one2one
ADAMTS20,ENSSSCG00000000795,ENSG00000173157,True,ortholog_one2one
ADAMTS3,ENSSSCG00000038180,ENSG00000156140,True,ortholog_one2one
ADAMTS4,ENSSSCG00000006359,ENSG00000158859,True,ortholog_one2one
ADAP2,ENSSSCG00000017738,ENSG00000184060,True,ortholog_one2one
ADAR,ENSSSCG00000006543,ENSG00000160710,True,ortholog_one2one
ADARB1,ENSSSCG00000012089,ENSG00000197381,True,ortholog_one2one
ADAT1,ENSSSCG00000002706,ENSG00000065457,True,ortholog_one2one
ADAT2,ENSSSCG00000039598,ENSG00000189007,True,ortholog_one2one
ADAT3,ENSSSCG00000038810,ENSG00000213638,True,ortholog_one2one
ADCK1,ENSSSCG00000002408,ENSG00000063761,True,ortholog_one2one
ADCK2,ENSSSCG00000016496,ENSG00000133597,True,ortholog_one2one
ADCY1,ENSSSCG00000016726,ENSG00000164742,True,ortholog_one2one
ADCY4,ENSSSCG00000001988,ENSG00000129467,True,ortholog_one2one
ADCY5,ENSSSCG00000027952,ENSG00000173175,True,ortholog_one2one
ADCY7,ENSSSCG00000039408,ENSG00000121281,True,ortholog_one2one
ADCY8,ENSSSCG00000031717,ENSG00000155897,True,ortholog_one2one
ADD3,ENSSSCG00000010621,ENSG00000148700,True,ortholog_one2one
ADGB,ENSSSCG00000004114,ENSG00000118492,True,ortholog_one2one
ADGRA1,ENSSSCG00000039199,ENSG00000197177,True,ortholog_one2one
ADGRA2,ENSSSCG00000015825,ENSG00000020181,True,ortholog_one2one
ADGRA3,ENSSSCG00000008753,ENSG00000152990,True,ortholog_one2one
ADGRB1,ENSSSCG00000035891,ENSG00000181790,True,ortholog_one2one
ADGRB2,ENSSSCG00000003604,ENSG00000121753,True,ortholog_one2one
ADGRB3,ENSSSCG00000004270,ENSG00000135298,True,ortholog_one2one
ADGRD1,ENSSSCG00000009745,ENSG00000111452,True,ortholog_one2one
ADGRD2,ENSSSCG00000005591,ENSG00000180264,True,ortholog_one2one
ADGRF3,ENSSSCG00000008570,ENSG00000173567,True,ortholog_one2one
ADGRF5,ENSSSCG00000001725,ENSG00000069122,True,ortholog_one2one
ADGRG6,ENSSSCG00000004139,ENSG00000112414,True,ortholog_one2one
ADGRG7,ENSSSCG00000011962,ENSG00000144820,True,ortholog_one2one
ADGRL1,ENSSSCG00000013773,ENSG00000072071,True,ortholog_one2one
ADGRL2,ENSSSCG00000003761,ENSG00000117114,True,ortholog_one2one
ADGRL4,ENSSSCG00000003762,ENSG00000162618,True,ortholog_one2one
ADGRV1,ENSSSCG00000035025,ENSG00000164199,True,ortholog_one2one
ADH4,ENSSSCG00000009184,ENSG00000198099,True,ortholog_one2one
ADHFE1,ENSSSCG00000006213,ENSG00000147576,True,ortholog_one2one
ADNP2,ENSSSCG00000038632,ENSG00000101544,True,ortholog_one2one
ADO,ENSSSCG00000031360,ENSG00000181915,True,ortholog_one2one
ADORA1,ENSSSCG00000021059,ENSG00000163485,True,ortholog_one2one
ADPRH,ENSSSCG00000011896,ENSG00000144843,True,ortholog_one2one
ADPRHL1,ENSSSCG00000024103,ENSG00000153531,True,ortholog_one2one
ADPRS,ENSSSCG00000003634,ENSG00000116863,True,ortholog_one2one
ADRA1A,ENSSSCG00000009661,ENSG00000120907,True,ortholog_one2one
ADRA1B,ENSSSCG00000017041,ENSG00000170214,True,ortholog_one2one
ADSS2,ENSSSCG00000010874,ENSG00000035687,True,ortholog_one2one
AEBP1,ENSSSCG00000016754,ENSG00000106624,True,ortholog_one2one
AEBP2,ENSSSCG00000000587,ENSG00000139154,True,ortholog_one2one
AEN,ENSSSCG00000005102,ENSG00000181026,True,ortholog_one2one
AFAP1,ENSSSCG00000023907,ENSG00000196526,True,ortholog_one2one
AFAP1L1,ENSSSCG00000014431,ENSG00000157510,True,ortholog_one2one
AFF4,ENSSSCG00000014291,ENSG00000072364,True,ortholog_one2one
AFG1L,ENSSSCG00000040199,ENSG00000135537,True,ortholog_one2one
AFG2A,ENSSSCG00000009084,ENSG00000145375,True,ortholog_one2one
AFG2B,ENSSSCG00000004671,ENSG00000171763,True,ortholog_one2one
AFG3L2,ENSSSCG00000022947,ENSG00000141385,True,ortholog_one2one
AFM,ENSSSCG00000008950,ENSG00000079557,True,ortholog_one2one
AGAP1,ENSSSCG00000016317,ENSG00000157985,True,ortholog_one2one
AGAP2,ENSSSCG00000038732,ENSG00000135439,True,ortholog_one2one
AGAP3,ENSSSCG00000025610,ENSG00000133612,True,ortholog_one2one
AGBL2,ENSSSCG00000040838,ENSG00000165923,True,ortholog_one2one
AGBL5,ENSSSCG00000008558,ENSG00000084693,True,ortholog_one2one
AGFG1,ENSSSCG00000016248,ENSG00000173744,True,ortholog_one2one
AGFG2,ENSSSCG00000007664,ENSG00000106351,True,ortholog_one2one
AGPAT3,ENSSSCG00000038081,ENSG00000160216,True,ortholog_one2one
AGPAT4,ENSSSCG00000004033,ENSG00000026652,True,ortholog_one2one
AGPAT5,ENSSSCG00000015755,ENSG00000155189,True,ortholog_one2one
AGR2,ENSSSCG00000015363,ENSG00000106541,True,ortholog_one2one
AGRN,ENSSSCG00000022204,ENSG00000188157,True,ortholog_one2one
AGRP,ENSSSCG00000002775,ENSG00000159723,True,ortholog_one2one
AGT,ENSSSCG00000010184,ENSG00000135744,True,ortholog_one2one
AGTPBP1,ENSSSCG00000010957,ENSG00000135049,True,ortholog_one2one
AGTR1,ENSSSCG00000011695,ENSG00000144891,True,ortholog_one2one
AGTR2,ENSSSCG00000012600,ENSG00000180772,True,ortholog_one2one
AGTRAP,ENSSSCG00000022401,ENSG00000177674,True,ortholog_one2one
AGXT,ENSSSCG00000016402,ENSG00000172482,True,ortholog_one2one
AGXT2,ENSSSCG00000016829,ENSG00000113492,True,ortholog_one2one
AHCTF1,ENSSSCG00000010863,ENSG00000153207,True,ortholog_one2one
AHCY,ENSSSCG00000007278,ENSG00000101444,True,ortholog_one2one
AHCYL1,ENSSSCG00000006816,ENSG00000168710,True,ortholog_one2one
AHCYL2,ENSSSCG00000016568,ENSG00000158467,True,ortholog_one2one
AHDC1,ENSSSCG00000047147,ENSG00000126705,True,ortholog_one2one
AHI1,ENSSSCG00000004166,ENSG00000135541,True,ortholog_one2one
AHNAK,ENSSSCG00000036669,ENSG00000124942,True,ortholog_one2one
AHNAK2,ENSSSCG00000035669,ENSG00000185567,True,ortholog_one2one
AHR,ENSSSCG00000030484,ENSG00000106546,True,ortholog_one2one
AHRR,ENSSSCG00000032843,ENSG00000063438,True,ortholog_one2one
AHSA1,ENSSSCG00000002406,ENSG00000100591,True,ortholog_one2one
AHSG,ENSSSCG00000011799,ENSG00000145192,True,ortholog_one2one
AICDA,ENSSSCG00000000667,ENSG00000111732,True,ortholog_one2one
AIF1L,ENSSSCG00000034178,ENSG00000126878,True,ortholog_one2one
AIPL1,ENSSSCG00000022026,ENSG00000129221,True,ortholog_one2one
AIRE,ENSSSCG00000025294,ENSG00000160224,True,ortholog_one2one
AIRIM,ENSSSCG00000039905,ENSG00000116922,True,ortholog_one2one
AJAP1,ENSSSCG00000031344,ENSG00000196581,True,ortholog_one2one
AJUBA,ENSSSCG00000029201,ENSG00000129474,True,ortholog_one2one
AK1,ENSSSCG00000005627,ENSG00000106992,True,ortholog_one2one
AK3,ENSSSCG00000023595,ENSG00000147853,True,ortholog_one2one
AK5,ENSSSCG00000003773,ENSG00000154027,True,ortholog_one2one
AKAP12,ENSSSCG00000031733,ENSG00000131016,True,ortholog_one2one
AKAP17A,ENSSSCG00000032986,ENSG00000197976,True,ortholog_one2one
AKAP5,ENSSSCG00000002268,ENSG00000179841,True,ortholog_one2one
AKAP7,ENSSSCG00000036790,ENSG00000118507,True,ortholog_one2one
AKAP8,ENSSSCG00000013837,ENSG00000105127,True,ortholog_one2one
AKAP8L,ENSSSCG00000013838,ENSG00000011243,True,ortholog_one2one
AKT1,ENSSSCG00000039139,ENSG00000142208,True,ortholog_one2one
AKT1S1,ENSSSCG00000003194,ENSG00000204673,True,ortholog_one2one
AKT2,ENSSSCG00000002989,ENSG00000105221,True,ortholog_one2one
AKT3,ENSSSCG00000010872,ENSG00000117020,True,ortholog_one2one
ALAD,ENSSSCG00000032787,ENSG00000148218,True,ortholog_one2one
ALAS2,ENSSSCG00000012347,ENSG00000158578,True,ortholog_one2one
ALB,ENSSSCG00000008948,ENSG00000163631,True,ortholog_one2one
ALCAM,ENSSSCG00000011946,ENSG00000170017,True,ortholog_one2one
ALDH1A2,ENSSSCG00000025578,ENSG00000128918,True,ortholog_one2one
ALDH1A3,ENSSSCG00000004822,ENSG00000184254,True,ortholog_one2one
ALDH1L2,ENSSSCG00000000839,ENSG00000136010,True,ortholog_one2one
ALDH2,ENSSSCG00000009889,ENSG00000111275,True,ortholog_one2one
ALDH3A1,ENSSSCG00000018044,ENSG00000108602,True,ortholog_one2one
ALDH3A2,ENSSSCG00000018041,ENSG00000072210,True,ortholog_one2one
ALDH6A1,ENSSSCG00000002357,ENSG00000119711,True,ortholog_one2one
ALDH7A1,ENSSSCG00000014247,ENSG00000164904,True,ortholog_one2one
ALDH8A1,ENSSSCG00000028115,ENSG00000118514,True,ortholog_one2one
ALDOC,ENSSSCG00000017759,ENSG00000109107,True,ortholog_one2one
ALG12,ENSSSCG00000000980,ENSG00000182858,True,ortholog_one2one
ALG13,ENSSSCG00000012586,ENSG00000101901,True,ortholog_one2one
ALG14,ENSSSCG00000006885,ENSG00000172339,True,ortholog_one2one
ALG2,ENSSSCG00000005383,ENSG00000119523,True,ortholog_one2one
ALG3,ENSSSCG00000021319,ENSG00000214160,True,ortholog_one2one
ALG6,ENSSSCG00000003815,ENSG00000088035,True,ortholog_one2one
ALG8,ENSSSCG00000014887,ENSG00000159063,True,ortholog_one2one
ALKAL1,ENSSSCG00000033922,ENSG00000196711,True,ortholog_one2one
ALKBH2,ENSSSCG00000009940,ENSG00000189046,True,ortholog_one2one
ALKBH8,ENSSSCG00000024628,ENSG00000137760,True,ortholog_one2one
ALMS1,ENSSSCG00000037977,ENSG00000116127,True,ortholog_one2one
ALOX12B,ENSSSCG00000017980,ENSG00000179477,True,ortholog_one2one
ALOX15,ENSSSCG00000017923,ENSG00000161905,True,ortholog_one2one
ALOX15B,ENSSSCG00000017978,ENSG00000179593,True,ortholog_one2one
ALOX5,ENSSSCG00000010404,ENSG00000012779,True,ortholog_one2one
ALOX5AP,ENSSSCG00000009330,ENSG00000132965,True,ortholog_one2one
ALOXE3,ENSSSCG00000017981,ENSG00000179148,True,ortholog_one2one
ALPK1,ENSSSCG00000031348,ENSG00000073331,True,ortholog_one2one
ALPK2,ENSSSCG00000004918,ENSG00000198796,True,ortholog_one2one
ALPK3,ENSSSCG00000041322,ENSG00000136383,True,ortholog_one2one
ALX4,ENSSSCG00000040329,ENSG00000052850,True,ortholog_one2one
AMDHD1,ENSSSCG00000000893,ENSG00000139344,True,ortholog_one2one
AMDHD2,ENSSSCG00000008057,ENSG00000162066,True,ortholog_one2one
AMER1,ENSSSCG00000012361,ENSG00000184675,True,ortholog_one2one
AMER2,ENSSSCG00000022678,ENSG00000165566,True,ortholog_one2one
AMER3,ENSSSCG00000016391,ENSG00000178171,True,ortholog_one2one
AMFR,ENSSSCG00000002822,ENSG00000159461,True,ortholog_one2one
AMH,ENSSSCG00000035812,ENSG00000104899,True,ortholog_one2one
AMHR2,ENSSSCG00000000271,ENSG00000135409,True,ortholog_one2one
AMN1,ENSSSCG00000034407,ENSG00000151743,True,ortholog_one2one
AMPD3,ENSSSCG00000022492,ENSG00000133805,True,ortholog_one2one
AMPH,ENSSSCG00000024136,ENSG00000078053,True,ortholog_one2one
AMT,ENSSSCG00000022975,ENSG00000145020,True,ortholog_one2one
AMZ1,ENSSSCG00000007564,ENSG00000174945,True,ortholog_one2one
AMZ2,ENSSSCG00000017264,ENSG00000196704,True,ortholog_one2one
ANAPC1,ENSSSCG00000008105,ENSG00000153107,True,ortholog_one2one
ANAPC10,ENSSSCG00000033871,ENSG00000164162,True,ortholog_one2one
ANAPC2,ENSSSCG00000032828,ENSG00000176248,True,ortholog_one2one
ANAPC5,ENSSSCG00000009814,ENSG00000089053,True,ortholog_one2one
ANAPC7,ENSSSCG00000030222,ENSG00000196510,True,ortholog_one2one
ANGEL1,ENSSSCG00000002390,ENSG00000013523,True,ortholog_one2one
ANGEL2,ENSSSCG00000015588,ENSG00000174606,True,ortholog_one2one
ANGPT1,ENSSSCG00000006035,ENSG00000154188,True,ortholog_one2one
ANGPT2,ENSSSCG00000015753,ENSG00000091879,True,ortholog_one2one
ANGPT4,ENSSSCG00000007198,ENSG00000101280,True,ortholog_one2one
ANGPTL2,ENSSSCG00000005608,ENSG00000136859,True,ortholog_one2one
ANGPTL3,ENSSSCG00000003819,ENSG00000132855,True,ortholog_one2one
ANGPTL7,ENSSSCG00000003414,ENSG00000171819,True,ortholog_one2one
ANGPTL8,ENSSSCG00000036965,ENSG00000130173,True,ortholog_one2one
ANK1,ENSSSCG00000007022,ENSG00000029534,True,ortholog_one2one
ANK2,ENSSSCG00000009125,ENSG00000145362,True,ortholog_one2one
ANKAR,ENSSSCG00000016042,ENSG00000151687,True,ortholog_one2one
ANKEF1,ENSSSCG00000007063,ENSG00000132623,True,ortholog_one2one
ANKH,ENSSSCG00000016784,ENSG00000154122,True,ortholog_one2one
ANKIB1,ENSSSCG00000015314,ENSG00000001629,True,ortholog_one2one
ANKRD12,ENSSSCG00000003682,ENSG00000101745,True,ortholog_one2one
ANKRD13A,ENSSSCG00000009924,ENSG00000076513,True,ortholog_one2one
ANKRD13B,ENSSSCG00000017793,ENSG00000198720,True,ortholog_one2one
ANKRD13C,ENSSSCG00000003790,ENSG00000118454,True,ortholog_one2one
ANKRD13D,ENSSSCG00000012917,ENSG00000172932,True,ortholog_one2one
ANKRD16,ENSSSCG00000028790,ENSG00000134461,True,ortholog_one2one
ANKRD17,ENSSSCG00000024592,ENSG00000132466,True,ortholog_one2one
ANKRD22,ENSSSCG00000010445,ENSG00000152766,True,ortholog_one2one
ANKRD24,ENSSSCG00000013497,ENSG00000089847,True,ortholog_one2one
ANKRD34A,ENSSSCG00000037823,ENSG00000272031,True,ortholog_one2one
ANKRD35,ENSSSCG00000006688,ENSG00000198483,True,ortholog_one2one
ANKRD40,ENSSSCG00000038760,ENSG00000154945,True,ortholog_one2one
ANKRD42,ENSSSCG00000014902,ENSG00000137494,True,ortholog_one2one
ANKRD46,ENSSSCG00000006065,ENSG00000186106,True,ortholog_one2one
ANKRD49,ENSSSCG00000014956,ENSG00000168876,True,ortholog_one2one
ANKRD50,ENSSSCG00000022173,ENSG00000151458,True,ortholog_one2one
ANKRD52,ENSSSCG00000000386,ENSG00000139645,True,ortholog_one2one
ANKRD61,ENSSSCG00000007593,ENSG00000157999,True,ortholog_one2one
ANKS1A,ENSSSCG00000001534,ENSG00000064999,True,ortholog_one2one
ANKS1B,ENSSSCG00000022083,ENSG00000185046,True,ortholog_one2one
ANKS3,ENSSSCG00000007939,ENSG00000168096,True,ortholog_one2one
ANKS4B,ENSSSCG00000007850,ENSG00000175311,True,ortholog_one2one
ANKS6,ENSSSCG00000005378,ENSG00000165138,True,ortholog_one2one
ANKUB1,ENSSSCG00000011706,ENSG00000206199,True,ortholog_one2one
ANKZF1,ENSSSCG00000016212,ENSG00000163516,True,ortholog_one2one
ANLN,ENSSSCG00000016658,ENSG00000011426,True,ortholog_one2one
ANO5,ENSSSCG00000013344,ENSG00000171714,True,ortholog_one2one
ANXA1,ENSSSCG00000005267,ENSG00000135046,True,ortholog_one2one
ANXA11,ENSSSCG00000010331,ENSG00000122359,True,ortholog_one2one
ANXA13,ENSSSCG00000005979,ENSG00000104537,True,ortholog_one2one
ANXA2,ENSSSCG00000004578,ENSG00000182718,True,ortholog_one2one
ANXA4,ENSSSCG00000008336,ENSG00000196975,True,ortholog_one2one
ANXA6,ENSSSCG00000017089,ENSG00000197043,True,ortholog_one2one
ANXA7,ENSSSCG00000010299,ENSG00000138279,True,ortholog_one2one
ANXA9,ENSSSCG00000006643,ENSG00000143412,True,ortholog_one2one
AOX1,ENSSSCG00000029606,ENSG00000138356,True,ortholog_one2one
AP1B1,ENSSSCG00000009978,ENSG00000100280,True,ortholog_one2one
AP1G1,ENSSSCG00000002740,ENSG00000166747,True,ortholog_one2one
AP1G2,ENSSSCG00000002015,ENSG00000213983,True,ortholog_one2one
AP1M2,ENSSSCG00000025838,ENSG00000129354,True,ortholog_one2one
AP1S1,ENSSSCG00000021145,ENSG00000106367,True,ortholog_one2one
AP1S2,ENSSSCG00000036074,ENSG00000182287,True,ortholog_one2one
AP2M1,ENSSSCG00000024437,ENSG00000161203,True,ortholog_one2one
AP2S1,ENSSSCG00000003106,ENSG00000042753,True,ortholog_one2one
AP3B1,ENSSSCG00000014101,ENSG00000132842,True,ortholog_one2one
AP3B2,ENSSSCG00000001807,ENSG00000103723,True,ortholog_one2one
AP3D1,ENSSSCG00000040157,ENSG00000065000,True,ortholog_one2one
AP3M1,ENSSSCG00000010314,ENSG00000185009,True,ortholog_one2one
AP3S2,ENSSSCG00000030174,ENSG00000157823,True,ortholog_one2one
AP5Z1,ENSSSCG00000007577,ENSG00000242802,True,ortholog_one2one
APAF1,ENSSSCG00000000884,ENSG00000120868,True,ortholog_one2one
APBA1,ENSSSCG00000005250,ENSG00000107282,True,ortholog_one2one
APBA2,ENSSSCG00000004849,ENSG00000034053,True,ortholog_one2one
APBA3,ENSSSCG00000013492,ENSG00000011132,True,ortholog_one2one
APBB1,ENSSSCG00000014628,ENSG00000166313,True,ortholog_one2one
APBB1IP,ENSSSCG00000030156,ENSG00000077420,True,ortholog_one2one
APBB2,ENSSSCG00000022168,ENSG00000163697,True,ortholog_one2one
APBB3,ENSSSCG00000014366,ENSG00000113108,True,ortholog_one2one
APLN,ENSSSCG00000048443,ENSG00000171388,True,ortholog_one2one
APLNR,ENSSSCG00000038869,ENSG00000134817,True,ortholog_one2one
APLP1,ENSSSCG00000002916,ENSG00000105290,True,ortholog_one2one
APLP2,ENSSSCG00000015244,ENSG00000084234,True,ortholog_one2one
APMAP,ENSSSCG00000036286,ENSG00000101474,True,ortholog_one2one
APOA1,ENSSSCG00000030921,ENSG00000118137,True,ortholog_one2one
APOA4,ENSSSCG00000040689,ENSG00000110244,True,ortholog_one2one
APOB,ENSSSCG00000008595,ENSG00000084674,True,ortholog_one2one
APOH,ENSSSCG00000040910,ENSG00000091583,True,ortholog_one2one
APOL6,ENSSSCG00000000151,ENSG00000221963,True,ortholog_one2one
APOLD1,ENSSSCG00000036787,ENSG00000178878,True,ortholog_one2one
APOLTP,ENSSSCG00000007899,ENSG00000188897,True,ortholog_one2one
APOO,ENSSSCG00000012174,ENSG00000184831,True,ortholog_one2one
APOOL,ENSSSCG00000012459,ENSG00000155008,True,ortholog_one2one
APP,ENSSSCG00000012022,ENSG00000142192,True,ortholog_one2one
AQP2,ENSSSCG00000021193,ENSG00000167580,True,ortholog_one2one
AQP5,ENSSSCG00000000211,ENSG00000161798,True,ortholog_one2one
AQP8,ENSSSCG00000031865,ENSG00000103375,True,ortholog_one2one
AQP9,ENSSSCG00000004597,ENSG00000103569,True,ortholog_one2one
AQR,ENSSSCG00000004802,ENSG00000021776,True,ortholog_one2one
AR,ENSSSCG00000012371,ENSG00000169083,True,ortholog_one2one
ARAF,ENSSSCG00000012275,ENSG00000078061,True,ortholog_one2one
ARAP1,ENSSSCG00000014817,ENSG00000186635,True,ortholog_one2one
ARAP2,ENSSSCG00000008768,ENSG00000047365,True,ortholog_one2one
ARF4,ENSSSCG00000031791,ENSG00000168374,True,ortholog_one2one
ARFIP2,ENSSSCG00000014625,ENSG00000132254,True,ortholog_one2one
ARFRP1,ENSSSCG00000035304,ENSG00000101246,True,ortholog_one2one
ARG1,ENSSSCG00000004195,ENSG00000118520,True,ortholog_one2one
ARG2,ENSSSCG00000002294,ENSG00000081181,True,ortholog_one2one
