symbol,pig_gene_id,human_gene_id
ABLIM1,ENSSSCG00000010651,ENSG00000099204
ABLIM2,ENSSSCG00000008721,ENSG00000163995
ABLIM3,ENSSSCG00000014430,ENSG00000173210
ABR,ENSSSCG00000017804,ENSG00000159842
ABRA,ENSSSCG00000031728,ENSG00000174429
ABRACL,ENSSSCG00000004145,ENSG00000146386
ABRAXAS1,ENSSSCG00000009234,ENSG00000163322
ABRAXAS2,ENSSSCG00000010737,ENSG00000165660
ABT1,ENSSSCG00000038191,ENSG00000146109
ABTB1,ENSSSCG00000024827,ENSG00000114626
ABTB2,ENSSSCG00000013303,ENSG00000166016
ABTB3,ENSSSCG00000000162,ENSG00000151136
ACAA1,ENSSSCG00000011250,ENSG00000060971
ACAA2,ENSSSCG00000004510,ENSG00000167315
ACAD10,ENSSSCG00000009836,ENSG00000111271
ACAD11,ENSSSCG00000011629,ENSG00000240303
ACAD9,ENSSSCG00000023354,ENSG00000177646
ACADL,ENSSSCG00000016156,ENSG00000115361
ACADM,ENSSSCG00000003776,ENSG00000117054
ACADS,ENSSSCG00000009916,ENSG00000122971
ACADSB,ENSSSCG00000010723,ENSG00000196177
ACADVL,ENSSSCG00000017947,ENSG00000072778
ACAN,ENSSSCG00000001832,ENSG00000157766
ACAP1,ENSSSCG00000017943,ENSG00000072818
ACAP2,ENSSSCG00000031147,ENSG00000114331
ACAP3,ENSSSCG00000003329,ENSG00000131584
ACAT1,ENSSSCG00000026153,ENSG00000075239
ACAT2,ENSSSCG00000004049,ENSG00000120437
ACBD3,ENSSSCG00000024180,ENSG00000182827
ACBD4,ENSSSCG00000017337,ENSG00000181513
ACBD5,ENSSSCG00000011064,ENSG00000107897
ACBD6,ENSSSCG00000015534,ENSG00000230124
ACBD7,ENSSSCG00000038184,ENSG00000176244
ACCS,ENSSSCG00000013282,ENSG00000110455
ACD,ENSSSCG00000029590,ENSG00000102977
ACE,ENSSSCG00000017296,ENSG00000159640
ACE2,ENSSSCG00000012138,ENSG00000130234
ACER1,ENSSSCG00000023969,ENSG00000167769
ACER2,ENSSSCG00000034213,ENSG00000177076
ACER3,ENSSSCG00000032723,ENSG00000078124
ACHE,ENSSSCG00000030303,ENSG00000087085
ACIN1,ENSSSCG00000002034,ENSG00000100813
ACKR1,ENSSSCG00000036223,ENSG00000213088
ACKR2,ENSSSCG00000031154,ENSG00000144648
ACKR3,ENSSSCG00000016322,ENSG00000144476
ACKR4,ENSSSCG00000011630,ENSG00000129048
ACLY,ENSSSCG00000017421,ENSG00000131473
ACMSD,ENSSSCG00000015699,ENSG00000153086
ACO1,ENSSSCG00000023807,ENSG00000122729
ACO2,ENSSSCG00000000064,ENSG00000100412
ACOD1,ENSSSCG00000009469,ENSG00000102794
ACOT11,ENSSSCG00000037559,ENSG00000162390
ACOT12,ENSSSCG00000036095,ENSG00000172497
ACOT13,ENSSSCG00000036411,ENSG00000112304
ACOT6,ENSSSCG00000002348,ENSG00000205669
ACOT7,ENSSSCG00000003377,ENSG00000097021
ACOT8,ENSSSCG00000007426,ENSG00000101473
ACOT9,ENSSSCG00000012172,ENSG00000123130
ACOX1,ENSSSCG00000017198,ENSG00000161533
ACOX2,ENSSSCG00000011477,ENSG00000168306
ACOX3,ENSSSCG00000008724,ENSG00000087008
ACOXL,ENSSSCG00000037846,ENSG00000153093
ACP1,ENSSSCG00000008659,ENSG00000143727
ACP2,ENSSSCG00000013242,ENSG00000134575
ACP3,ENSSSCG00000011627,ENSG00000014257
ACP4,ENSSSCG00000024736,ENSG00000142513
ACP5,ENSSSCG00000032282,ENSG00000102575
ACP6,ENSSSCG00000006697,ENSG00000162836
ACP7,ENSSSCG00000002971,ENSG00000183760
ACR,ENSSSCG00000021265,ENSG00000100312
ACRBP,ENSSSCG00000000700,ENSG00000111644
ACRV1,ENSSSCG00000015216,ENSG00000134940
ACSBG1,ENSSSCG00000001760,ENSG00000103740
ACSBG2,ENSSSCG00000013536,ENSG00000130377
ACSF2,ENSSSCG00000017566,ENSG00000167107
ACSF3,ENSSSCG00000023866,ENSG00000176715
ACSL1,ENSSSCG00000015784,ENSG00000151726
ACSL3,ENSSSCG00000016223,ENSG00000123983
ACSL4,ENSSSCG00000012583,ENSG00000068366
ACSL5,ENSSSCG00000031789,ENSG00000197142
ACSL6,ENSSSCG00000014272,ENSG00000164398
ACSM2B,ENSSSCG00000007858,ENSG00000066813
ACSM3,ENSSSCG00000007857,ENSG00000005187
ACSM4,ENSSSCG00000030033,ENSG00000215009
ACSM5,ENSSSCG00000026453,ENSG00000183549
ACSS1,ENSSSCG00000007133,ENSG00000154930
ACSS2,ENSSSCG00000007286,ENSG00000131069
ACSS3,ENSSSCG00000000939,ENSG00000111058
ACTA1,ENSSSCG00000010190,ENSG00000143632
ACTA2,ENSSSCG00000010447,ENSG00000107796
ACTB,ENSSSCG00000007585,ENSG00000075624
ACTBL2,ENSSSCG00000016923,ENSG00000169067
ACTC1,ENSSSCG00000004803,ENSG00000159251
ACTG1,ENSSSCG00000028355,ENSG00000184009
ACTG2,ENSSSCG00000008294,ENSG00000163017
ACTL6A,ENSSSCG00000011762,ENSG00000136518
ACTL7A,ENSSSCG00000005439,ENSG00000187003
ACTL7B,ENSSSCG00000005438,ENSG00000148156
ACTL8,ENSSSCG00000024062,ENSG00000117148
ACTL9,ENSSSCG00000013605,ENSG00000181786
ACTMAP,ENSSSCG00000040533,ENSG00000188493
ACTN1,ENSSSCG00000036702,ENSG00000072110
ACTN2,ENSSSCG00000010144,ENSG00000077522
ACTN4,ENSSSCG00000002965,ENSG00000130402
ACTR10,ENSSSCG00000022299,ENSG00000131966
ACTR1A,ENSSSCG00000010585,ENSG00000138107
ACTR1B,ENSSSCG00000008194,ENSG00000115073
ACTR2,ENSSSCG00000008358,ENSG00000138071
ACTR3,ENSSSCG00000015710,ENSG00000115091
ACTR3B,ENSSSCG00000016426,ENSG00000133627
ACTR5,ENSSSCG00000007349,ENSG00000101442
ACTR6,ENSSSCG00000025682,ENSG00000075089
ACTR8,ENSSSCG00000011458,ENSG00000113812
ACTRT1,ENSSSCG00000012648,ENSG00000123165
ACTRT2,ENSSSCG00000003357,ENSG00000169717
ACTRT3,ENSSSCG00000039994,ENSG00000184378
ACVR1,ENSSSCG00000015874,ENSG00000115170
ACVR1B,ENSSSCG00000000233,ENSG00000135503
ACVR1C,ENSSSCG00000015873,ENSG00000123612
ACVR2A,ENSSSCG00000015669,ENSG00000121989
ACVR2B,ENSSSCG00000011257,ENSG00000114739
ACVRL1,ENSSSCG00000000232,ENSG00000139567
ACY1,ENSSSCG00000023325,ENSG00000243989
ACYP2,ENSSSCG00000025224,ENSG00000170634
ADA,ENSSSCG00000021255,ENSG00000196839
ADA2,ENSSSCG00000035218,ENSG00000093072
ADAD1,ENSSSCG00000009089,ENSG00000164113
ADAD2,ENSSSCG00000034385,ENSG00000140955
ADAM10,ENSSSCG00000004595,ENSG00000137845
ADAM11,ENSSSCG00000017349,ENSG00000073670
ADAM12,ENSSSCG00000010746,ENSG00000148848
ADAM15,ENSSSCG00000006533,ENSG00000143537
ADAM17,ENSSSCG00000008641,ENSG00000151694
ADAM18,ENSSSCG00000007008,ENSG00000168619
ADAM19,ENSSSCG00000017052,ENSG00000135074
ADAM2,ENSSSCG00000045907,ENSG00000104755
ADAM20,ENSSSCG00000034126,ENSG00000134007
ADAM22,ENSSSCG00000015297,ENSG00000008277
ADAM23,ENSSSCG00000016131,ENSG00000114948
ADAM28,ENSSSCG00000009644,ENSG00000042980
ADAM30,ENSSSCG00000006713,ENSG00000134249
ADAM32,ENSSSCG00000015807,ENSG00000197140
ADAM33,ENSSSCG00000007145,ENSG00000149451
ADAM7,ENSSSCG00000009646,ENSG00000069206
ADAM8,ENSSSCG00000010772,ENSG00000151651
ADAM9,ENSSSCG00000015808,ENSG00000168615
ADAMDEC1,ENSSSCG00000009645,ENSG00000134028
ADAMTS1,ENSSSCG00000012026,ENSG00000154734
ADAMTS10,ENSSSCG00000026994,ENSG00000142303
ADAMTS12,ENSSSCG00000016816,ENSG00000151388
ADAMTS13,ENSSSCG00000021241,ENSG00000160323
ADAMTS14,ENSSSCG00000010272,ENSG00000138316
ADAMTS15,ENSSSCG00000015250,ENSG00000166106
ADAMTS16,ENSSSCG00000017109,ENSG00000145536
ADAMTS17,ENSSSCG00000038452,ENSG00000140470
ADAMTS18,ENSSSCG00000038627,ENSG00000140873
ADAMTS19,ENSSSCG00000014259,ENSG00000145808
ADAMTS2,ENSSSCG00000024043,ENSG00000087116
ADAMTS20,ENSSSCG00000000795,ENSG00000173157
ADAMTS3,ENSSSCG00000038180,ENSG00000156140
ADAMTS4,ENSSSCG00000006359,ENSG00000158859
ADAMTS5,ENSSSCG00000012027,ENSG00000154736
ADAMTS6,ENSSSCG00000016943,ENSG00000049192
ADAMTS7,ENSSSCG00000001765,ENSG00000136378
ADAMTS8,ENSSSCG00000015249,ENSG00000134917
ADAMTS9,ENSSSCG00000011496,ENSG00000163638
ADAMTSL1,ENSSSCG00000040366,ENSG00000178031
ADAMTSL2,ENSSSCG00000026425,ENSG00000197859
ADAMTSL3,ENSSSCG00000001793,ENSG00000156218
ADAMTSL4,ENSSSCG00000006651,ENSG00000143382
ADAMTSL5,ENSSSCG00000013433,ENSG00000185761
ADAP1,ENSSSCG00000007547,ENSG00000105963
ADAP2,ENSSSCG00000017738,ENSG00000184060
ADAR,ENSSSCG00000006543,ENSG00000160710
ADARB1,ENSSSCG00000012089,ENSG00000197381
ADARB2,ENSSSCG00000011160,ENSG00000185736
ADAT1,ENSSSCG00000002706,ENSG00000065457
ADAT2,ENSSSCG00000039598,ENSG00000189007
ADAT3,ENSSSCG00000038810,ENSG00000213638
ADCK1,ENSSSCG00000002408,ENSG00000063761
ADCK2,ENSSSCG00000016496,ENSG00000133597
ADCK5,ENSSSCG00000005907,ENSG00000173137
ADCY1,ENSSSCG00000016726,ENSG00000164742
ADCY10,ENSSSCG00000006305,ENSG00000143199
ADCY2,ENSSSCG00000017101,ENSG00000078295
ADCY3,ENSSSCG00000008578,ENSG00000138031
ADCY4,ENSSSCG00000001988,ENSG00000129467
ADCY5,ENSSSCG00000027952,ENSG00000173175
ADCY6,ENSSSCG00000000175,ENSG00000174233
ADCY7,ENSSSCG00000039408,ENSG00000121281
ADCY8,ENSSSCG00000031717,ENSG00000155897
ADCY9,ENSSSCG00000007950,ENSG00000162104
ADCYAP1,ENSSSCG00000035186,ENSG00000141433
ADCYAP1R1,ENSSSCG00000016672,ENSG00000078549
ADD1,ENSSSCG00000008692,ENSG00000087274
ADD2,ENSSSCG00000020736,ENSG00000075340
ADD3,ENSSSCG00000010621,ENSG00000148700
ADGB,ENSSSCG00000004114,ENSG00000118492
ADGRA1,ENSSSCG00000039199,ENSG00000197177
ADGRA2,ENSSSCG00000015825,ENSG00000020181
ADGRA3,ENSSSCG00000008753,ENSG00000152990
ADGRB1,ENSSSCG00000035891,ENSG00000181790
ADGRB2,ENSSSCG00000003604,ENSG00000121753
ADGRB3,ENSSSCG00000004270,ENSG00000135298
ADGRD1,ENSSSCG00000009745,ENSG00000111452
ADGRD2,ENSSSCG00000005591,ENSG00000180264
ADGRE1,ENSSSCG00000013556,ENSG00000174837
ADGRE3,ENSSSCG00000013787,ENSG00000131355
ADGRE5,ENSSSCG00000013775,ENSG00000123146
ADGRF1,ENSSSCG00000001726,ENSG00000153292
ADGRF3,ENSSSCG00000008570,ENSG00000173567
ADGRF4,ENSSSCG00000022089,ENSG00000153294
ADGRF5,ENSSSCG00000001725,ENSG00000069122
ADGRG1,ENSSSCG00000002815,ENSG00000205336
ADGRG2,ENSSSCG00000029756,ENSG00000173698
ADGRG3,ENSSSCG00000002814,ENSG00000182885
ADGRG5,ENSSSCG00000025503,ENSG00000159618
ADGRG6,ENSSSCG00000004139,ENSG00000112414
ADGRG7,ENSSSCG00000011962,ENSG00000144820
ADGRL1,ENSSSCG00000013773,ENSG00000072071
ADGRL2,ENSSSCG00000003761,ENSG00000117114
ADGRL3,ENSSSCG00000026129,ENSG00000150471
ADGRL4,ENSSSCG00000003762,ENSG00000162618
ADGRV1,ENSSSCG00000035025,ENSG00000164199
ADH4,ENSSSCG00000009184,ENSG00000198099
ADH5,ENSSSCG00000009185,ENSG00000197894
ADHFE1,ENSSSCG00000006213,ENSG00000147576
ADI1,ENSSSCG00000029161,ENSG00000182551
ADIG,ENSSSCG00000007346,ENSG00000182035
ADIPOQ,ENSSSCG00000039103,ENSG00000181092
ADIPOR1,ENSSSCG00000010931,ENSG00000159346
ADIPOR2,ENSSSCG00000000757,ENSG00000006831
ADIRF,ENSSSCG00000037918,ENSG00000148671
ADISSP,ENSSSCG00000035666,ENSG00000101220
ADK,ENSSSCG00000010315,ENSG00000156110
ADM,ENSSSCG00000013408,ENSG00000148926
ADNP,ENSSSCG00000007473,ENSG00000101126
ADNP2,ENSSSCG00000038632,ENSG00000101544
ADO,ENSSSCG00000031360,ENSG00000181915
ADORA1,ENSSSCG00000021059,ENSG00000163485
ADORA2A,ENSSSCG00000010054,ENSG00000128271
ADORA2B,ENSSSCG00000035051,ENSG00000170425
ADPGK,ENSSSCG00000001925,ENSG00000159322
ADPRH,ENSSSCG00000011896,ENSG00000144843
ADPRHL1,ENSSSCG00000024103,ENSG00000153531
ADPRM,ENSSSCG00000018009,ENSG00000170222
ADPRS,ENSSSCG00000003634,ENSG00000116863
ADRA1A,ENSSSCG00000009661,ENSG00000120907
ADRA1B,ENSSSCG00000017041,ENSG00000170214
ADRA1D,ENSSSCG00000007139,ENSG00000171873
ADRA2A,ENSSSCG00000010629,ENSG00000150594
ADRA2C,ENSSSCG00000008703,ENSG00000184160
ADRB1,ENSSSCG00000010647,ENSG00000043591
ADRB3,ENSSSCG00000015821,ENSG00000188778
ADRM1,ENSSSCG00000038718,ENSG00000130706
ADSL,ENSSSCG00000000077,ENSG00000239900
ADSS1,ENSSSCG00000037334,ENSG00000185100
ADSS2,ENSSSCG00000010874,ENSG00000035687
ADTRP,ENSSSCG00000001048,ENSG00000111863
AEBP1,ENSSSCG00000016754,ENSG00000106624
AEBP2,ENSSSCG00000000587,ENSG00000139154
AEN,ENSSSCG00000005102,ENSG00000181026
AFAP1,ENSSSCG00000023907,ENSG00000196526
AFAP1L1,ENSSSCG00000014431,ENSG00000157510
AFAP1L2,ENSSSCG00000010650,ENSG00000169129
AFDN,ENSSSCG00000004018,ENSG00000130396
AFF1,ENSSSCG00000023593,ENSG00000172493
AFF2,ENSSSCG00000012730,ENSG00000155966
AFF4,ENSSSCG00000014291,ENSG00000072364
AFG1L,ENSSSCG00000040199,ENSG00000135537
AFG2A,ENSSSCG00000009084,ENSG00000145375
AFG2B,ENSSSCG00000004671,ENSG00000171763
AFG3L2,ENSSSCG00000022947,ENSG00000141385
AFM,ENSSSCG00000008950,ENSG00000079557
AFMID,ENSSSCG00000033636,ENSG00000183077
AFP,ENSSSCG00000008949,ENSG00000081051
AFTPH,ENSSSCG00000008363,ENSG00000119844
AGA,ENSSSCG00000015772,ENSG00000038002
AGAP1,ENSSSCG00000016317,ENSG00000157985
AGAP2,ENSSSCG00000038732,ENSG00000135439
AGAP3,ENSSSCG00000025610,ENSG00000133612
AGBL2,ENSSSCG00000040838,ENSG00000165923
AGBL5,ENSSSCG00000008558,ENSG00000084693
AGFG1,ENSSSCG00000016248,ENSG00000173744
AGFG2,ENSSSCG00000007664,ENSG00000106351
AGGF1,ENSSSCG00000014094,ENSG00000164252
AGL,ENSSSCG00000006872,ENSG00000162688
AGMAT,ENSSSCG00000003463,ENSG00000116771
AGMO,ENSSSCG00000015356,ENSG00000187546
AGO1,ENSSSCG00000003630,ENSG00000092847
AGO2,ENSSSCG00000005935,ENSG00000123908
AGPAT3,ENSSSCG00000038081,ENSG00000160216
AGPAT4,ENSSSCG00000004033,ENSG00000026652
AGPAT5,ENSSSCG00000015755,ENSG00000155189
AGPS,ENSSSCG00000023983,ENSG00000018510
AGR2,ENSSSCG00000015363,ENSG00000106541
AGRN,ENSSSCG00000022204,ENSG00000188157
AGRP,ENSSSCG00000002775,ENSG00000159723
AGT,ENSSSCG00000010184,ENSG00000135744
AGTPBP1,ENSSSCG00000010957,ENSG00000135049
AGTR1,ENSSSCG00000011695,ENSG00000144891
AGTR2,ENSSSCG00000012600,ENSG00000180772
AGTRAP,ENSSSCG00000022401,ENSG00000177674
AGXT,ENSSSCG00000016402,ENSG00000172482
AGXT2,ENSSSCG00000016829,ENSG00000113492
AHCTF1,ENSSSCG00000010863,ENSG00000153207
AHCY,ENSSSCG00000007278,ENSG00000101444
AHCYL1,ENSSSCG00000006816,ENSG00000168710
AHCYL2,ENSSSCG00000016568,ENSG00000158467
AHDC1,ENSSSCG00000047147,ENSG00000126705
AHI1,ENSSSCG00000004166,ENSG00000135541
AHNAK,ENSSSCG00000036669,ENSG00000124942
AHNAK2,ENSSSCG00000035669,ENSG00000185567
AHR,ENSSSCG00000030484,ENSG00000106546
AHRR,ENSSSCG00000032843,ENSG00000063438
AHSA1,ENSSSCG00000002406,ENSG00000100591
AHSG,ENSSSCG00000011799,ENSG00000145192
AHSP,ENSSSCG00000037878,ENSG00000169877
AICDA,ENSSSCG00000000667,ENSG00000111732
AIDA,ENSSSCG00000010835,ENSG00000186063
AIF1L,ENSSSCG00000034178,ENSG00000126878
AIFM1,ENSSSCG00000012657,ENSG00000156709
AIFM2,ENSSSCG00000010258,ENSG00000042286
AIFM3,ENSSSCG00000010096,ENSG00000183773
AIG1,ENSSSCG00000004136,ENSG00000146416
AIMP1,ENSSSCG00000024168,ENSG00000164022
AIMP2,ENSSSCG00000024245,ENSG00000106305
AIPL1,ENSSSCG00000022026,ENSG00000129221
AIRE,ENSSSCG00000025294,ENSG00000160224
AIRIM,ENSSSCG00000039905,ENSG00000116922
AJAP1,ENSSSCG00000031344,ENSG00000196581
AJUBA,ENSSSCG00000029201,ENSG00000129474
AK1,ENSSSCG00000005627,ENSG00000106992
AK2,ENSSSCG00000032067,ENSG00000004455
AK3,ENSSSCG00000023595,ENSG00000147853
AK4,ENSSSCG00000040337,ENSG00000162433
AK5,ENSSSCG00000003773,ENSG00000154027
AK6,ENSSSCG00000037053,ENSG00000085231
AK7,ENSSSCG00000002504,ENSG00000140057
AK8,ENSSSCG00000039188,ENSG00000165695
AKAP1,ENSSSCG00000034994,ENSG00000121057
AKAP10,ENSSSCG00000024030,ENSG00000108599
AKAP11,ENSSSCG00000009430,ENSG00000023516
AKAP12,ENSSSCG00000031733,ENSG00000131016
AKAP17A,ENSSSCG00000032986,ENSG00000197976
AKAP3,ENSSSCG00000000720,ENSG00000111254
AKAP4,ENSSSCG00000012306,ENSG00000147081
AKAP5,ENSSSCG00000002268,ENSG00000179841
AKAP6,ENSSSCG00000024517,ENSG00000151320
AKAP7,ENSSSCG00000036790,ENSG00000118507
AKAP8,ENSSSCG00000013837,ENSG00000105127
AKAP8L,ENSSSCG00000013838,ENSG00000011243
AKAP9,ENSSSCG00000015310,ENSG00000127914
AKIP1,ENSSSCG00000033335,ENSG00000166452
AKIRIN1,ENSSSCG00000003652,ENSG00000174574
AKIRIN2,ENSSSCG00000004307,ENSG00000135334
AKNA,ENSSSCG00000023894,ENSG00000106948
AKR1A1,ENSSSCG00000029256,ENSG00000117448
AKR1B1,ENSSSCG00000040608,ENSG00000085662
AKR1C1,ENSSSCG00000011147,ENSG00000187134
AKR1D1,ENSSSCG00000016519,ENSG00000122787
AKR1E2,ENSSSCG00000036941,ENSG00000165568
AKR7A2,ENSSSCG00000003491,ENSG00000053371
AKT1,ENSSSCG00000039139,ENSG00000142208
AKT1S1,ENSSSCG00000003194,ENSG00000204673
AKT2,ENSSSCG00000002989,ENSG00000105221
AKT3,ENSSSCG00000010872,ENSG00000117020
AKTIP,ENSSSCG00000026181,ENSG00000166971
ALAD,ENSSSCG00000032787,ENSG00000148218
ALAS1,ENSSSCG00000011437,ENSG00000023330
ALAS2,ENSSSCG00000012347,ENSG00000158578
ALB,ENSSSCG00000008948,ENSG00000163631
ALCAM,ENSSSCG00000011946,ENSG00000170017
ALDH16A1,ENSSSCG00000003168,ENSG00000161618
ALDH18A1,ENSSSCG00000010495,ENSG00000059573
ALDH1A1,ENSSSCG00000028996,ENSG00000165092
ALDH1A2,ENSSSCG00000025578,ENSG00000128918
ALDH1A3,ENSSSCG00000004822,ENSG00000184254
ALDH1B1,ENSSSCG00000005361,ENSG00000137124
ALDH1L1,ENSSSCG00000030626,ENSG00000144908
ALDH1L2,ENSSSCG00000000839,ENSG00000136010
ALDH2,ENSSSCG00000009889,ENSG00000111275
ALDH3A1,ENSSSCG00000018044,ENSG00000108602
ALDH3A2,ENSSSCG00000018041,ENSG00000072210
ALDH3B1,ENSSSCG00000028501,ENSG00000006534
ALDH4A1,ENSSSCG00000024752,ENSG00000159423
ALDH5A1,ENSSSCG00000001090,ENSG00000112294
ALDH6A1,ENSSSCG00000002357,ENSG00000119711
ALDH7A1,ENSSSCG00000014247,ENSG00000164904
ALDH8A1,ENSSSCG00000028115,ENSG00000118514
ALDH9A1,ENSSSCG00000006324,ENSG00000143149
ALDOA,ENSSSCG00000032556,ENSG00000149925
ALDOB,ENSSSCG00000038300,ENSG00000136872
ALDOC,ENSSSCG00000017759,ENSG00000109107
ALG1,ENSSSCG00000007919,ENSG00000033011
ALG10,ENSSSCG00000026719,ENSG00000139133
ALG11,ENSSSCG00000009381,ENSG00000253710
ALG12,ENSSSCG00000000980,ENSG00000182858
ALG13,ENSSSCG00000012586,ENSG00000101901
ALG14,ENSSSCG00000006885,ENSG00000172339
ALG2,ENSSSCG00000005383,ENSG00000119523
ALG3,ENSSSCG00000021319,ENSG00000214160
ALG5,ENSSSCG00000009360,ENSG00000120697
ALG6,ENSSSCG00000003815,ENSG00000088035
ALG8,ENSSSCG00000014887,ENSG00000159063
ALG9,ENSSSCG00000015023,ENSG00000086848
ALKAL1,ENSSSCG00000033922,ENSG00000196711
ALKAL2,ENSSSCG00000039057,ENSG00000189292
ALKBH1,ENSSSCG00000025906,ENSG00000100601
ALKBH2,ENSSSCG00000009940,ENSG00000189046
ALKBH3,ENSSSCG00000040937,ENSG00000166199
ALKBH4,ENSSSCG00000029300,ENSG00000160993
ALKBH5,ENSSSCG00000035120,ENSG00000091542
ALKBH6,ENSSSCG00000002910,ENSG00000239382
ALKBH7,ENSSSCG00000024254,ENSG00000125652
ALKBH8,ENSSSCG00000024628,ENSG00000137760
ALLC,ENSSSCG00000008650,ENSG00000151360
ALMS1,ENSSSCG00000037977,ENSG00000116127
ALOX12B,ENSSSCG00000017980,ENSG00000179477
ALOX15,ENSSSCG00000017923,ENSG00000161905
ALOX15B,ENSSSCG00000017978,ENSG00000179593
ALOX5,ENSSSCG00000010404,ENSG00000012779
ALOX5AP,ENSSSCG00000009330,ENSG00000132965
